CIDADE;FLAG_SHOPPING;SEGUNDO_PRINCIPAL_SETOR;FATURAMENTO_TRI
São Paulo;Sim;Cosméticos;34,8
Campinas;Sim;Cosméticos;28,6
Guarulhos;Sim;Higiene pessoal;27,3
Osasco;Sim;Perfumaria;24,5
São Bernardo do Campo;Sim;Cosméticos;24,1
Ribeirão Preto;Sim;Cosméticos;23,6
Diadema;Não;Perfumaria;21,8
Sorocaba;Sim;Cosméticos;19,8
Praia Grande;Não;Higiene pessoal;19,4
Jundiaí;Não;Perfumaria;18,5
Santo André;Sim;Higiene pessoal;17,6
Santos;Não;Higiene pessoal;16,2
Piracicaba;Sim;Perfumaria;14,9
São José do Rio Preto;Não;Cosméticos;13,4
Limeira;Sim;Perfumaria;13,2
Mogi das Cruzes;Sim;Higiene pessoal;12,6
Suzano;Não;Perfumaria;8,9
Americana;Não;Higiene pessoal;6,3
Franca;Não;Perfumaria;2,1
;;;
;;;
;;;
;;;
;;;
;;;
;;;
