ID_CIDADE	VOLUME_CHUVA_JAN_MM	QTDE_CASOS_DENGUE_FEV
CID_01	212	12779
CID_02	241	12717
CID_03	253	14997
CID_04	262	14022
CID_05	311	15383
CID_06	229	12251
CID_07	257	16233
CID_08	179	10836
CID_09	234	12818
CID_10	216	11603
CID_11	275	14798
CID_12	243	13726
CID_13	351	16428
CID_14	253	14882
CID_15	272	14037
CID_16	223	10160
CID_17	315	14981
CID_18	303	17425
CID_19	218	11132
CID_20	145	7101
CID_21	270	12800
CID_22	225	12115
CID_23	239	13638
CID_24	228	13623
CID_25	272	13240
CID_26	285	14358
CID_27	255	13484
CID_28	295	15376
CID_29	200	12877
CID_30	182	9900
CID_31	324	13152
CID_32	213	10126
CID_33	289	13787
CID_34	181	11124
CID_35	291	14055
CID_36	189	11081
CID_37	295	13963
CID_38	231	10666
CID_39	241	13460
CID_40	258	12010
CID_41	245	11906
CID_42	269	13496
CID_43	214	10474
CID_44	275	13238
CID_45	239	14009
