COD_PRODUTO	INVESTIMENTO	FATURAMENTO
C_0001	20500	526400
C_0002	17500	312200
C_0003	18500	429200
C_0004	14500	470900
C_0005	12000	407100
C_0006	18800	339800
C_0007	18700	335900
C_0008	15000	361300
C_0009	16700	341700
C_0010	23500	484300
C_0011	13000	276400
C_0012	22500	357400
C_0013	16800	270600
C_0014	19200	439700
C_0015	18600	343500
C_0016	13700	327500
C_0017	21500	470700
C_0018	16500	326000
C_0019	17700	361100
C_0020	19700	267700
C_0021	15500	256300
C_0022	15800	396300
C_0023	20600	464300
C_0024	14800	431000
C_0025	15700	364000
C_0026	15700	433700
C_0027	22200	361100
C_0028	19800	452500
C_0029	18700	329900
C_0030	22600	357300
C_0031	13500	198000
C_0032	17700	324500
C_0033	11000	314100
C_0034	21200	380200
C_0035	23200	402100
C_0036	14700	331100
C_0037	21600	461200
C_0038	10000	233900
C_0039	20500	455800
C_0040	16500	312000
C_0041	19600	411900
C_0042	17500	242300
C_0043	16700	369200
C_0044	19500	357300
C_0045	12500	394600
C_0046	14000	235800
C_0047	17800	379300
C_0048	24500	498900
C_0049	20200	437800
C_0050	20700	467900
