ID_CLIENTE	SCORE_CREDITO	VALOR_TOTAL_ATRASOS_12M	QTD_CONSULTAS_CREDITO_12M	RENDIMENTO_MEDIO_12M	TEMPO_TRABALHO	IDADE	QTD_DEPENDENTES	LIMITE_INICIAL_CARTAO
0001	79	0	2	9350	15	37	0	9700
0002	73	3195,52	1	2010	17	22	0	1400
0003	80	0	3	15660	16	57	2	9800
0004	77	0	1	18640	11	33	0	8300
0005	89	0	1	7550	15	21	1	11700
0006	68	4635,26	3	2300	9	27	0	1000
0007	86	0	1	4950	9	24	1	8400
0008	80	0	1	9230	18	38	1	4700
0009	70	1750,38	1	7050	20	43	1	3000
0010	81	1345,54	3	7780	15	25	0	6300
0011	75	194,01	3	9950	17	38	2	4600
0012	79	2656,64	4	7610	14	48	1	7300
0013	81	2485,59	3	6930	18	35	0	7600
0014	84	1325,83	5	3960	12	35	0	7700
0015	78	0	3	5200	10	39	1	4200
0016	83	0	2	5860	17	27	1	6300
0017	84	0	2	9730	21	20	2	10800
0018	83	0	2	2490	18	38	2	6000
0019	78	0	3	9310	10	28	2	6100
0020	68	1000,06	2	9500	9	31	2	3800
0021	75	0	3	6740	11	22	2	4200
0022	90	0	1	25090	17	52	1	16500
0023	83	0	2	5080	18	37	1	5900
0024	80	0	1	4080	8	33	1	4100
0025	77	1402,04	2	14180	8	28	2	6400
0026	84	0	2	8630	15	60	1	8000
0027	75	0	2	6260	8	30	1	5400
0028	71	1668,24	3	4090	16	23	1	1300
0029	81	0	1	10230	12	23	1	10200
0030	67	3274,41	2	13140	15	39	1	4400
0031	73	687,71	2	17770	16	39	1	7700
0032	68	1273,86	2	9940	11	34	0	3900
0033	91	0	2	14270	9	27	1	12500
0034	86	581,79	3	3050	21	31	2	5500
0035	72	1067,18	3	14520	13	27	2	4900
0036	71	0	2	14250	10	21	1	4700
0037	67	3415,49	3	5260	17	26	1	1300
0038	71	715,17	2	2410	20	32	1	1000
0039	64	3434,31	4	8160	7	32	1	1000
0040	75	4245,67	2	2250	17	32	0	3000
0041	78	0	2	13800	6	53	1	7600
0042	79	0	3	9560	14	54	0	5100
0043	87	253,35	2	18400	26	58	0	14500
0044	76	2682,09	4	10900	11	36	0	6000
0045	68	4769,27	2	10650	21	30	3	6000
0046	78	402,34	2	7650	19	33	2	6500
0047	65	1729,68	2	7040	21	21	1	2500
0048	71	1738,21	2	7850	13	57	0	4700
0049	71	890,35	3	8570	11	32	2	5000
0050	65	3572,41	2	6570	20	35	1	1500
0051	79	0	2	5010	10	57	1	4800
0052	81	0	3	4890	9	42	1	7100
0053	70	2777,77	2	910	8	44	2	3100
0054	81	444,65	2	7830	2	28	2	6600
0055	65	2148,31	3	13640	17	41	1	3300
0056	79	1858,76	3	4960	19	29	1	3000
0057	86	2601,58	2	9990	12	31	2	9400
0058	86	0	2	9470	17	36	2	10700
0059	87	0	1	25570	13	29	0	15100
0060	85	0	3	390	15	38	0	3700
0061	89	0	1	17850	14	25	2	12300
0062	75	2814,33	2	4950	7	62	0	6800
0063	80	0	2	16120	16	31	1	10100
0064	95	0	1	16830	22	51	1	17500
0065	81	809,69	2	8490	16	34	0	7700
0066	77	6016,53	2	9090	18	32	2	7700
0067	80	1294,46	2	11200	19	52	3	8300
0068	85	0	1	17720	17	24	0	14400
0069	71	3052,84	2	6600	11	40	1	4300
0070	84	0	2	16940	22	26	2	14600
0071	88	0	1	8740	15	29	1	11400
0072	80	336,21	2	14810	22	29	0	8200
0073	80	440,25	3	16630	16	24	2	8600
0074	74	482,41	2	7000	13	55	0	6500
0075	82	0	3	7150	14	40	2	7600
0076	84	0	1	5090	19	23	0	9600
0077	93	0	1	14220	20	60	0	16900
0078	82	809,95	2	8750	13	23	1	9500
0079	76	1729,52	3	1550	17	30	3	2700
0080	64	1283,81	1	9310	21	29	1	2700
0081	77	64,26	1	9010	18	30	1	6700
0082	79	0	3	8140	16	38	1	6600
0083	81	0	2	9050	9	23	1	8100
0084	78	0	2	13770	9	29	0	8200
0085	71	2356,18	3	8520	8	62	1	5000
0086	82	2213,34	4	12070	21	32	0	9400
0087	74	0	1	20250	24	44	0	10000
0088	82	0	2	9420	22	41	0	9900
0089	85	0	1	13830	10	39	1	9600
0090	67	1732,08	2	19550	20	38	1	5900
0091	73	0	1	5990	15	39	1	6600
0092	71	1259,82	3	5190	18	44	2	3000
0093	76	2383,11	3	21790	16	19	2	10300
0094	84	0	2	10000	16	60	2	7200
0095	88	0	1	13270	18	33	1	12000
0096	81	0	1	17830	23	56	2	9100
0097	72	0	1	6340	13	52	2	4000
0098	86	0	2	6120	13	40	3	7900
0099	59	759,77	2	8980	21	23	1	1000
0100	93	0	1	7630	5	35	1	13000
0101	79	0	1	11320	18	29	0	12700
0102	90	0	1	27970	23	29	1	15400
0103	86	0	4	18800	14	58	2	12700
0104	80	32,78	3	3770	22	34	1	5100
0105	79	0	2	9670	14	30	1	7400
0106	79	521,8	3	9640	11	31	0	6900
0107	74	0	2	4630	11	56	0	4600
0108	87	635,43	2	8820	14	22	1	9300
0109	77	0	3	4300	11	59	1	3700
0110	80	0	2	10270	14	37	0	5600
0111	83	0	2	12990	12	30	1	8300
0112	77	0	2	9850	19	19	2	6600
0113	80	2071,1	2	12750	13	45	3	8500
0114	79	579,2	2	6350	16	40	1	3900
0115	75	1884,06	3	7220	14	35	0	5000
0116	87	0	2	3090	25	36	1	10100
0117	74	0	2	10120	23	19	1	7500
0118	87	651,37	2	16190	18	26	1	11600
0119	62	716,94	2	10730	7	34	3	2500
0120	80	2161,66	1	8160	20	19	0	9000
0121	83	0	2	15570	14	57	0	7300
0122	83	12,14	2	10070	11	43	0	9100
0123	73	0	2	14340	19	41	1	6500
0124	79	2274,71	3	10520	11	31	1	6400
0125	81	0	1	23320	25	61	0	14300
0126	81	0	1	11280	22	41	1	8400
0127	90	0	2	29860	20	44	2	14900
0128	77	603,15	2	15110	14	33	1	9900
0129	79	0	2	5190	8	25	1	6000
0130	67	1515,73	3	6660	16	36	0	1300
0131	73	0	1	3830	14	35	2	3800
0132	85	0	1	4730	13	22	1	8000
0133	90	0	2	9140	13	24	2	12200
0134	78	0	2	12030	17	32	1	8500
0135	75	2685,58	2	3340	14	40	1	4200
0136	86	0	2	20350	9	53	0	12700
0137	54	4130,93	3	16660	18	19	1	1100
0138	76	2034,73	2	13520	13	24	1	7400
0139	73	2030,63	2	16120	16	44	1	7100
0140	68	6278,42	3	6510	12	31	0	1500
0141	86	0	2	16950	20	36	1	12400
0142	74	2550,35	4	18150	18	21	1	7600
0143	81	0	2	6540	13	27	1	6000
0144	92	0	1	11170	14	33	1	11100
0145	81	797,84	2	29700	16	21	3	12600
0146	84	0	2	7560	12	42	1	6900
0147	86	0	1	6740	15	62	0	8600
0148	88	140,32	1	5740	15	38	2	9300
0149	87	0	2	19360	20	32	1	15400
0150	84	322,64	2	6990	17	62	2	9500
0151	87	34	2	8260	19	47	2	9100
0152	78	0	2	8780	24	32	2	7900
0153	83	1434,05	3	11670	9	26	1	8700
0154	87	638,7	2	7180	15	36	1	9700
0155	88	0	2	21960	18	28	1	14800
0156	70	1888,83	2	9250	12	27	1	4500
0157	82	964,75	2	15690	10	23	1	11100
0158	92	0	2	13710	21	36	1	15100
0159	75	0	3	13660	12	19	1	7400
0160	72	5045,54	2	7960	14	31	1	6000
0161	77	0	2	870	11	28	1	5300
0162	73	0	2	10080	17	27	0	4800
0163	74	0	2	10550	6	37	1	2900
0164	79	0	2	5150	9	34	1	6100
0165	77	575,15	3	8970	22	27	1	4200
0166	84	1179,57	3	10230	14	35	1	8200
