COD_ESCOLA	TEMPO_MEDIO_EDUC_PAIS	PERC_ALUNOS_BOLSA_FAM	PERC_ALUNOS_DEFICIT_APREND	ESCOLA_TEMPO_INTEG	PERC_PROF_POS_GRAD	PERC_PROF_TEMP	IDEB
100488	6,2	24	8	0	70	2	6,3
100512	3,8	65	24	0	50	22	4,7
101897	6	55	34	0	50	19	6,1
101927	5,7	33	25	0	62	8	6,2
104769	6,5	0	0	0	65	5	7,5
104978	6,6	6	3	0	70	2	7,6
109330	6,1	26	9	0	55	25	6,3
109361	4,5	52	28	0	51	21	4,7
111465	5,2	0	21	0	64	6	6,2
112091	4,8	35	16	0	60	21	5,5
112456	7,3	11	12	0	62	8	7,6
112905	5,8	39	7	0	67	10	5,8
113859	6	0	1	0	70	0	6,2
117682	5,3	69	29	0	59	11	4,3
119235	5,8	44	15	0	54	13	6,4
120147	5,8	1	14	0	64	7	6,4
121074	5,1	64	27	0	67	4	5,6
121652	8,9	0	1	0	60	10	8,6
123492	3,8	66	26	0	54	15	5
124315	5,3	23	15	0	64	12	5,7
124668	6,4	12	1	0	64	8	6,7
125156	3,4	61	37	0	56	14	4,8
125945	6,3	25	6	0	63	8	6,3
126152	5,3	21	16	0	49	4	5,7
126515	5,3	57	34	0	61	9	6,5
126639	7,4	11	10	0	60	9	7,4
127688	3,3	0	30	0	22	41	4,1
129326	5,6	0	18	0	62	7	6,3
131181	7,1	16	11	0	62	8	7,3
131330	5,9	37	26	0	59	11	6,5
131385	5,4	32	21	0	67	4	6
131934	4,3	72	42	0	60	10	4,8
132124	6,1	98	10	0	63	7	6,7
134542	6,2	0	7	0	53	17	6,6
136347	6,7	0	9	0	61	8	6,8
136596	4,9	47	18	0	63	9	5,6
138378	4,8	68	47	0	62	9	5,9
139590	7,6	5	15	0	57	13	8
139703	6,6	0	9	0	70	2	7
140418	7,3	1	5	0	68	4	7,3
140467	6,2	0	0	0	66	6	6,6
141171	5,7	32	0	0	65	0	6,4
141172	7,6	8	3	0	70	1	7,4
141414	5,5	31	19	0	51	15	5,9
142053	7,5	12	8	0	64	9	7,7
142339	5	51	46	0	69	1	5,4
142406	5,8	42	28	0	63	7	6,6
142603	7,6	4	4	0	70	0	7,9
143729	6,8	16	14	0	67	3	7
144104	5,8	13	15	0	55	16	5,9
146128	3,1	76	64	0	56	14	4,5
147598	6,1	21	3	0	65	11	6
149811	7,6	0	0	0	70	0	7,8
151136	7,9	0	5	0	69	1	8
151832	7,3	0	3	0	61	8	7,3
151866	6,4	0	2	0	69	2	7
153154	6	51	0	0	62	0	6,4
153298	6,7	10	13	0	70	0	7,7
154120	4,4	55	24	0	59	15	5,2
155191	7	4	21	0	67	3	7,2
155361	6,5	28	8	0	70	4	6,7
155870	5,1	44	24	0	45	21	5,5
156581	6,9	0	1	0	69	5	7,7
157469	7	5	0	0	68	2	7,6
159419	7,5	0	1	0	62	9	7,6
160531	5,2	50	14	0	55	13	5,3
161590	5,3	15	18	0	58	12	5,7
163556	5,9	0	1	0	70	2	7,1
163887	5,6	0	24	0	70	0	6,3
164052	4	54	11	0	50	18	4,9
164089	6,3	0	6	0	69	3	6,8
165852	5	59	21	0	30	40	4,7
171420	4,9	47	32	1	48	17	5,4
171531	6,5	0	6	0	68	4	6,9
172745	5,5	13	2	0	61	4	6
