ID_CLIENTE	SCORE_CREDITO	GENERO	IDADE	TEMPO_RELACIONAMENTO	TIPO_PLANO	RENDA	CANCELOU
00001	691	Feminino	51	7.2	Pre_Pago	9104	0
00002	749	Masculino	33	6.3	Pre_Pago	7916	0
00003	680	Masculino	35	6.3	Pos_Pago	7374	0
00004	479	Feminino	34	4.2	Pre_Pago	11342	0
00005	579	Masculino	27	4.4	Pre_Pago	5522	0
00006	619	Masculino	42	5.5	Pre_Pago	4593	0
00007	495	Masculino	41	6.7	Pos_Pago	5295	0
00008	594	Feminino	35	5.4	Pre_Pago	12984	0
00009	561	Feminino	39	8	Pre_Pago	7560	0
00010	551	Feminino	25	7.3	Pos_Pago	10938	0
00011	663	Feminino	32	6.4	Pre_Pago	9278	0
00012	735	Masculino	37	6.4	Pre_Pago	8054	0
00013	679	Feminino	37	7.4	Pre_Pago	13419	0
00014	732	Feminino	57	8.5	Pre_Pago	11218	0
00015	570	Feminino	35	4.9	Pre_Pago	4572	0
00016	570	Masculino	39	5.8	Pre_Pago	9675	0
00017	559	Masculino	28	10.9	Pre_Pago	5109	0
00018	609	Masculino	51	4.1	Pos_Pago	9583	0
00019	604	Feminino	29	6.4	Pre_Pago	8193	0
00020	609	Masculino	42	9	Pos_Pago	6026	0
00021	585	Masculino	37	5.9	Pos_Pago	10650	0
00022	569	Masculino	37	5.9	Pos_Pago	11087	0
00023	522	Masculino	49	5.4	Pre_Pago	12582	0
00024	646	Feminino	57	4.3	Pre_Pago	5159	0
00025	541	Feminino	56	3.1	Pre_Pago	7629	0
00026	662	Masculino	42	4.9	Pos_Pago	2681	0
00027	502	Masculino	34	6.8	Pre_Pago	6160	0
00028	737	Masculino	25	8.2	Pre_Pago	8449	0
00029	624	Feminino	32	2.5	Pre_Pago	12232	1
00030	425	Feminino	84	8.5	Pos_Pago	12264	0
00031	633	Masculino	69	11.3	Pre_Pago	6441	0
00032	558	Feminino	48	5.7	Pre_Pago	7401	0
00033	559	Masculino	39	6	Pos_Pago	3894	0
00034	475	Masculino	29	9.2	Pre_Pago	6786	1
00035	617	Feminino	57	8	Pos_Pago	7252	0
00036	820	Masculino	32	9.9	Pre_Pago	9238	0
00037	603	Masculino	36	6.3	Pre_Pago	7305	0
00038	594	Feminino	41	5.2	Pre_Pago	8967	0
00039	777	Masculino	47	3	Pre_Pago	6851	0
00040	616	Feminino	41	5.3	Pre_Pago	10163	0
00041	742	Feminino	23	4.6	Pos_Pago	8256	0
00042	637	Masculino	60	8.6	Pre_Pago	14283	0
00043	632	Feminino	36	5.3	Pre_Pago	11886	0
00044	516	Feminino	29	3.4	Pre_Pago	10041	0
00045	599	Feminino	32	3.2	Pre_Pago	8277	0
00046	483	Masculino	28	9.2	Pos_Pago	6720	0
00047	619	Masculino	31	3.7	Pre_Pago	6047	1
00048	485	Masculino	32	7.8	Pre_Pago	6334	1
00049	777	Masculino	42	14.8	Pre_Pago	11927	0
00050	733	Feminino	37	6.2	Pre_Pago	6447	1
00051	576	Feminino	33	6.2	Pre_Pago	6058	0
00052	589	Feminino	46	6.3	Pos_Pago	7626	0
00053	543	Masculino	40	8.8	Pos_Pago	4973	0
00054	492	Feminino	25	3.7	Pos_Pago	5676	0
00055	618	Masculino	38	2.7	Pos_Pago	5220	0
00056	583	Masculino	40	8.4	Pre_Pago	10728	0
00057	601	Masculino	40	4.2	Pre_Pago	11254	0
00058	520	Feminino	34	5.2	Pos_Pago	8786	0
00059	642	Masculino	30	4.1	Pre_Pago	9054	1
00060	515	Masculino	67	10.8	Pos_Pago	4604	0
00061	601	Masculino	29	7.2	Pre_Pago	9406	0
00062	595	Masculino	26	5.2	Pre_Pago	8386	0
00063	728	Feminino	34	9.1	Pre_Pago	6367	0
00064	560	Masculino	27	4.1	Pre_Pago	9158	0
00065	558	Masculino	32	7.4	Pre_Pago	15133	0
00066	794	Feminino	52	4.5	Pre_Pago	6911	0
00067	505	Feminino	41	11.2	Pre_Pago	6010	0
00068	581	Masculino	29	7.2	Pre_Pago	9268	0
00069	467	Masculino	29	3.5	Pre_Pago	13879	0
00070	697	Masculino	46	1.7	Pre_Pago	5296	1
00071	619	Masculino	38	4.6	Pre_Pago	8287	0
00072	631	Masculino	34	7.9	Pre_Pago	7104	0
00073	459	Feminino	60	6.4	Pre_Pago	8933	0
00074	562	Feminino	41	5.6	Pre_Pago	6483	0
00075	589	Feminino	34	14.5	Pre_Pago	11431	0
00076	559	Masculino	36	7.4	Pre_Pago	12626	0
00077	512	Feminino	45	7.1	Pre_Pago	8092	0
00078	662	Feminino	38	4.8	Pos_Pago	10255	0
00079	683	Feminino	46	3.4	Pre_Pago	10970	0
00080	472	Feminino	36	4.5	Pos_Pago	6546	0
00081	645	Feminino	24	7.1	Pre_Pago	8118	0
00082	659	Feminino	67	6.9	Pre_Pago	6823	0
00083	682	Feminino	46	9.5	Pre_Pago	7849	0
00084	757	Feminino	42	6.6	Pos_Pago	11485	0
00085	695	Masculino	28	7.9	Pre_Pago	7061	0
00086	626	Masculino	56	8	Pre_Pago	7366	0
00087	558	Masculino	30	5.6	Pre_Pago	6590	0
00088	497	Masculino	27	9.8	Pre_Pago	8922	0
00089	702	Feminino	34	8.6	Pos_Pago	12852	0
00090	521	Feminino	48	6.6	Pre_Pago	12863	0
00091	637	Feminino	39	6.1	Pre_Pago	5556	0
00092	667	Masculino	18	5	Pre_Pago	5627	1
00093	524	Feminino	46	5.3	Pre_Pago	11004	0
00094	565	Masculino	39	7.5	Pre_Pago	4676	0
00095	620	Feminino	43	4.2	Pre_Pago	13318	0
00096	457	Feminino	34	4.2	Pre_Pago	10815	0
00097	628	Feminino	21	8.3	Pre_Pago	9486	0
00098	673	Masculino	22	5.7	Pos_Pago	8136	1
00099	601	Feminino	48	9.2	Pre_Pago	6906	0
00100	536	Feminino	39	5.7	Pre_Pago	7509	0
00101	557	Feminino	26	8.6	Pre_Pago	14832	1
00102	651	Feminino	30	12.9	Pre_Pago	9523	0
00103	548	Masculino	33	9.6	Pre_Pago	8021	0
00104	590	Feminino	37	6.7	Pre_Pago	4182	0
00105	532	Feminino	44	6.8	Pos_Pago	6168	0
00106	566	Masculino	40	6	Pre_Pago	4551	0
00107	652	Masculino	36	7.7	Pre_Pago	5917	0
00108	566	Masculino	44	9	Pre_Pago	5645	1
00109	670	Masculino	45	6.5	Pos_Pago	9915	0
00110	553	Masculino	33	9	Pre_Pago	5710	0
00111	741	Feminino	40	4.2	Pre_Pago	11571	0
00112	527	Masculino	24	8.5	Pos_Pago	11319	0
00113	465	Masculino	46	6.6	Pre_Pago	11563	0
00114	630	Feminino	26	5.5	Pre_Pago	5716	0
00115	650	Feminino	67	2.5	Pos_Pago	3287	0
00116	546	Masculino	39	13.5	Pre_Pago	10426	0
00117	490	Feminino	25	5.7	Pre_Pago	8309	0
00118	551	Masculino	74	5.6	Pre_Pago	6276	0
00119	678	Masculino	40	5.5	Pre_Pago	6085	0
