ID	SAFRA	IDADE	RENDA_MEDIA_MENSAL	TOTAL_INVESTIMENTOS	QTDE_CONSULTAS_CREDITO_12M	QTDE_CARTOES	QTDE_EMPRESTIMOS_12M	QTDE_CHEQUE_ESPECIAL_12M	QTDE_PGTOS_EM_ATRASO_12M	TOTAL_DIAS_ATRASO_12M	FLAG_PGTO_PARCIAL_12M	VALOR_PGTOS_12M	PERC_MEDIO_LIMITE_TOMADO_12M	RESPOSTA_MAU_BOM
0x10002	Safra 2	18	22900	75100	8	9	3	3	6	38	Sim	4246	0.05	1
0x1000e	Safra 2	18	6000	0	1	3	1	1	4	24	Sim	15013	0.7	1
0x1001a	Safra 1	18	6900	4800	2	2	0	2	1	8	Sim	3361	0.8	1
0x1001b	Safra 3	18	23700	2000	1	3	1	2	3	28	Sim	5369	0.32	0
0x1001c	Safra 2	18	7000	4400	0	2	0	1	1	5	Nao	21381	0.26	1
0x10026	Safra 2	18	3500	0	0	2	0	1	3	3	Nao	2980	0.12	1
0x10032	Safra 3	18	4000	500	0	3	0	1	5	13	Nao	10306	0.33	1
0x1003e	Safra 3	18	11000	11000	0	4	0	1	0	0	Sim	21485	0.5	1
0x1004a	Safra 1	18	2200	100	0	1	0	0	1	1	Nao	15667	0.91	1
0x10056	Safra 2	18	7300	0	0	3	0	1	2	12	Sim	28430	0.09	1
0x10062	Safra 1	18	13400	2400	0	4	0	1	1	1	Sim	25308	0.63	0
0x1006e	Safra 2	18	4600	9500	2	3	1	2	1	34	Sim	12374	0.31	1
0x1007a	Safra 2	18	8800	24300	0	2	0	1	2	4	Nao	16099	0.75	1
0x10086	Safra 1	18	6600	13100	3	3	1	4	4	11	Sim	13946	0.41	1
0x10092	Safra 2	18	3000	1300	0	1	0	0	0	0	Nao	15316	0.07	1
0x1009e	Safra 3	18	5500	0	0	4	0	1	3	14	Nao	9735	0.41	1
0x100aa	Safra 2	18	5500	111900	0	4	0	1	1	3	Sim	20259	0.28	1
0x100b6	Safra 2	18	2600	101100	0	2	0	1	2	2	Nao	11324	0.26	1
0x100c2	Safra 1	18	20200	8500	1	5	0	2	4	5	Sim	2987	0.06	1
0x100ce	Safra 2	18	11100	1200	1	7	6	2	8	103	Sim	14754	0.62	0
0x100da	Safra 2	18	7400	121000	3	4	0	3	3	10	Sim	11072	0.31	0
0x100e6	Safra 3	18	12900	900	1	5	1	2	8	28	Sim	37121	0.32	1
0x100f2	Safra 2	18	14600	73400	0	1	0	1	0	0	Nao	14649	0.25	1
0x100fe	Safra 2	18	3400	100	1	4	0	1	0	0	Sim	12840	0.18	1
0x1010a	Safra 1	18	6200	27700	3	2	0	2	1	9	Sim	13685	0.32	1
0x10116	Safra 3	18	15800	200	0	4	0	2	2	5	Sim	32988	0.07	1
0x10122	Safra 3	18	4200	13600	0	7	0	1	0	0	Nao	6953	0.75	1
0x1012e	Safra 3	18	11200	22400	0	3	1	1	4	23	Nao	13223	0.81	1
0x1013a	Safra 3	18	5000	1500	0	2	0	1	5	5	Sim	15692	0.21	1
0x10146	Safra 1	18	11700	100	0	3	2	1	8	62	Sim	22545	0.1	0
0x10152	Safra 2	18	6700	9400	1	3	0	1	4	13	Sim	24778	0.26	1
0x1015e	Safra 3	18	7000	0	0	4	0	1	1	1	Nao	18967	0.56	1
0x1016a	Safra 3	18	2500	27400	0	1	0	1	0	0	Nao	4870	0.27	1
0x10176	Safra 3	18	5100	109700	2	2	0	1	1	8	Nao	3838	0.28	1
0x10182	Safra 3	18	3200	100	0	3	0	1	3	17	Sim	31485	0.76	1
0x1018e	Safra 1	18	13100	4600	0	2	0	1	3	8	Sim	24880	0.78	1
0x1019a	Safra 1	18	11500	73400	1	3	0	1	4	14	Nao	9863	0	1
0x101a6	Safra 2	18	12100	27000	0	3	0	3	3	11	Sim	3727	0.09	1
0x101b2	Safra 3	18	5100	43300	0	2	0	1	1	7	Sim	14999	0.27	1
0x101be	Safra 2	18	9800	800	0	1	0	1	0	0	Nao	14890	0.39	1
0x101ca	Safra 3	18	8300	2700	3	5	3	2	3	21	Sim	33853	0.16	1
0x101d6	Safra 1	18	3800	24400	2	1	0	1	0	0	Nao	5050	0.2	1
0x101e2	Safra 1	19	9800	32500	0	2	0	2	1	1	Sim	2249	0.11	1
0x101ee	Safra 3	19	3900	3200	2	5	3	2	1	8	Sim	5711	0.11	1
0x101fa	Safra 2	19	7400	34300	1	1	0	1	0	0	Nao	12107	0.09	1
0x101fe	Safra 1	19	1400	400	0	3	0	1	2	17	Sim	19000	0.03	1
0x101ff	Safra 2	19	8000	0	1	5	1	2	3	52	Sim	24541	0.23	1
0x10206	Safra 2	19	11100	4600	0	3	0	3	1	17	Sim	20041	0.12	0
0x10209	Safra 2	19	3400	0	0	3	0	1	1	16	Sim	4955	0.3	1
0x1020a	Safra 1	19	13900	100	0	3	0	1	2	17	Sim	27615	0.08	1
0x10212	Safra 2	19	7500	11900	1	1	0	2	1	1	Nao	12778	0.37	1
0x1021e	Safra 2	19	9600	700	0	5	2	1	4	55	Sim	8746	0.66	0
0x1022a	Safra 3	19	17400	1000	3	6	1	2	4	33	Sim	18451	0.17	1
0x10236	Safra 2	19	9900	7000	0	1	0	1	1	1	Nao	6462	0.89	1
0x10242	Safra 1	19	16500	61800	5	3	2	3	6	59	Sim	22796	0.01	0
0x1024e	Safra 3	19	6900	0	1	2	0	2	2	5	Sim	4590	0.31	1
0x1025a	Safra 3	19	9900	500	2	4	0	2	1	1	Sim	37438	0.55	1
0x10266	Safra 3	19	11400	11100	0	2	0	1	1	1	Nao	2241	0.44	0
0x10272	Safra 1	19	5600	44100	0	2	0	0	5	9	Nao	10816	0.75	1
0x1027e	Safra 2	19	4900	800	1	3	0	1	2	15	Sim	13800	0.85	0
0x1028a	Safra 2	19	5000	59900	1	1	0	1	0	0	Sim	8956	0.19	1
0x10296	Safra 3	19	6800	3500	0	1	0	1	1	1	Nao	3849	0.18	1
0x102a2	Safra 2	19	10000	0	1	5	1	2	2	46	Sim	15126	0.04	1
0x102ae	Safra 1	19	13700	0	0	3	1	1	2	13	Sim	13184	0.48	0
0x102ba	Safra 1	19	8600	10000	3	4	0	1	2	6	Sim	33338	0.2	1
0x102c6	Safra 2	19	11200	41100	1	4	0	1	1	1	Sim	15016	0.12	1
0x102d2	Safra 2	19	1600	0	0	4	0	1	1	1	Nao	16938	0.96	1
0x102de	Safra 2	19	12700	87200	0	2	0	2	3	9	Sim	17087	0.6	1
0x102ea	Safra 2	19	5500	600	0	2	0	1	2	5	Sim	7201	0.18	0
0x102f6	Safra 1	19	7400	5600	0	6	1	2	1	22	Sim	11787	0.25	0
0x10302	Safra 1	19	11300	3700	1	5	3	2	1	11	Sim	43576	0.52	0
0x10307	Safra 3	19	5500	2900	2	2	0	1	2	2	Nao	7793	0.73	1
0x10308	Safra 1	19	2300	0	1	2	0	0	2	5	Sim	15853	0.59	1
0x1030e	Safra 2	19	6900	3200	2	5	1	2	1	10	Sim	50658	0.2	1
0x1031a	Safra 1	19	10100	100	0	3	1	1	2	24	Sim	14246	0.54	1
0x10326	Safra 1	19	6000	0	1	3	1	2	2	25	Sim	18537	0.72	1
0x10332	Safra 2	19	4800	0	0	2	0	1	3	5	Nao	7551	0.65	1
0x10339	Safra 3	19	5500	0	1	2	0	2	1	2	Sim	21782	0.06	1
0x1033e	Safra 2	19	10500	0	0	2	0	1	2	4	Sim	2339	0.5	0
0x1034a	Safra 2	19	3900	2900	0	1	0	3	1	1	Nao	13388	0.03	1
0x10356	Safra 2	19	7600	400	1	4	0	2	1	8	Sim	21594	0.01	1
0x10362	Safra 1	19	18700	14600	3	6	1	2	3	72	Sim	3618	0.23	0
0x1036e	Safra 1	19	8100	2900	3	10	0	2	1	6	Sim	46159	0.02	1
0x1037a	Safra 2	19	4900	0	0	2	0	1	3	3	Nao	7914	0.12	1
0x10386	Safra 3	19	16000	0	0	5	1	1	2	35	Sim	34475	0.55	1
0x10392	Safra 2	19	26200	55500	5	6	1	1	1	10	Sim	23930	0.45	1
0x1039e	Safra 1	19	19300	2000	0	4	1	1	7	22	Sim	24466	0.15	1
0x103aa	Safra 1	19	8000	38300	0	3	2	1	1	3	Nao	15430	0.6	1
0x103b6	Safra 3	19	5100	0	0	2	0	1	2	2	Nao	4693	0.31	1
0x103c2	Safra 1	19	8300	0	1	3	1	3	4	31	Sim	42049	0.09	1
0x103ce	Safra 2	19	5300	0	1	3	1	3	2	34	Sim	22714	0.12	0
0x103da	Safra 2	19	5400	0	1	1	0	2	1	1	Nao	7321	0.05	1
0x103e6	Safra 3	19	11100	3800	0	3	2	1	3	3	Nao	8281	0.72	1
0x103f2	Safra 3	19	5600	0	1	4	0	3	0	0	Sim	13439	0.07	1
0x103fe	Safra 2	19	10000	300	0	3	1	1	1	25	Sim	9988	0.47	1
0x1040a	Safra 1	19	5300	110400	0	1	0	1	0	0	Nao	3720	0.26	0
0x10416	Safra 3	19	4500	0	0	6	2	2	3	114	Sim	13915	0.02	1
0x10422	Safra 1	19	4900	0	1	4	0	1	3	16	Nao	8510	0.66	1
0x1042e	Safra 3	19	9800	100	0	2	0	1	1	8	Sim	23107	0.32	1
0x1043a	Safra 2	19	3900	0	1	4	0	1	2	8	Sim	14970	0.02	1
0x10446	Safra 2	19	11200	0	0	3	0	1	2	13	Sim	19480	0.01	1
0x10452	Safra 2	19	4300	106500	0	2	0	0	2	3	Nao	9739	0.24	0
0x1045e	Safra 2	19	4400	100	1	3	1	2	5	37	Sim	14093	0.33	0
0x1046a	Safra 3	19	3700	0	1	3	0	1	2	13	Nao	4651	0.66	1
0x10476	Safra 1	19	7000	0	2	3	1	2	5	29	Sim	4802	0.68	1
0x10482	Safra 2	19	7600	200	0	2	0	2	4	8	Sim	13332	0.23	0
0x1048e	Safra 1	19	6400	8000	3	3	1	2	4	29	Sim	42041	0.2	1
0x1049a	Safra 2	19	7100	7300	0	2	0	1	1	1	Nao	12606	0.44	0
0x104a6	Safra 1	19	12700	146000	0	3	1	1	6	65	Sim	5955	0.66	1
0x104b2	Safra 1	19	3300	0	1	3	0	1	4	18	Sim	27594	0	1
0x104be	Safra 3	19	2400	0	0	1	0	2	0	0	Nao	13276	0.43	1
0x104ca	Safra 2	19	9100	1000	3	5	2	2	3	36	Sim	6900	0.69	0
0x104d6	Safra 3	19	11300	0	0	3	2	2	4	37	Sim	13171	0.33	1
0x104e2	Safra 1	19	19800	52800	5	8	0	3	2	9	Sim	37612	0	0
0x104ee	Safra 2	19	1800	93400	2	3	1	1	4	26	Sim	5688	0.72	0
0x104fa	Safra 3	19	4600	7100	2	2	0	1	2	3	Nao	12076	0.15	1
0x10506	Safra 3	19	7100	200	0	2	0	2	3	4	Sim	14900	0.01	1
0x10512	Safra 1	19	8500	0	0	2	0	0	1	1	Nao	6234	0.24	1
0x1051e	Safra 2	19	23500	32400	0	2	0	3	2	6	Nao	7142	0	1
