ID_Cliente	Investimento_Fixa	Investimento_Tesouro	Investimento_Poupanca	Rendimento_Liq_12M	Saldo_Conta	Investiu_Variavel_6M
0001	0	5434.42	0	229.52	0	0
0002	8240.53	4066.68	0	429.71	6145.54	0
0003	3843.34	4757.95	0	65.21	0	0
0004	2297.05	4201.29	0	308.23	0	0
0005	2477.00	4146.93	0	156.40	1328.92	0
0006	0	1224.36	0	44.74	1252.03	0
0007	7581.91	6226.31	0	36.74	0	0
0008	13175.12	8205.17	1218.63	13.82	0	0
0009	8915.83	14130.66	0	912.88	0	0
0010	1606.04	1701.19	0	126.81	0	0
0011	5695.82	2925.83	0	35.59	0	0
0012	6705.23	3329.08	0	319.36	3761.99	0
0013	2934.76	0	0	53.05	0	0
0014	7260.30	5000.95	0	226.37	0	0
0015	0	4124.91	0	127.27	0	0
0016	1161.93	0	0	18.08	0	0
0017	0	1015.48	0	30.31	1931.05	0
0018	3025.28	1119.41	2872.83	104.45	0	0
0019	12558.16	1734.78	0	244.78	2163.11	0
0020	0	4253.52	0	102.30	0	0
0021	1762.59	0	0	69.10	0	0
0022	0	4657.47	0	108.45	726.00	0
0023	3493.48	1123.42	0	136.69	585.92	0
0024	3848.84	3987.04	0	10.27	287.58	0
0025	8070.76	0	0	201.05	641.01	0
0026	0	2761.84	0	120.87	0	0
0027	3421.92	0	0	148.45	5449.88	0
0028	3054.42	3321.99	0	27.40	0	0
0029	3900.05	2609.73	1494.03	324.96	0	0
0030	3175.70	2666.83	0	9.12	0	0
0031	0	1559.48	0	22.18	0	0
0032	4553.43	0	0	186.24	0	0
0033	4574.80	8320.05	0	430.35	0	0
0034	3636.65	5796.04	0	263.59	0	1
0035	1819.42	4123.61	1474.65	115.82	1257.85	0
0036	0	1418.71	0	19.82	0	0
0037	4503.24	2170.31	0	145.40	0	0
0038	6894.46	0	1027.46	290.39	2903.60	0
0039	2651.66	0	0	67.40	0	0
0040	3884.06	1306.38	2645.06	42.30	0	0
0041	0	2211.40	0	11.62	0	0
0042	3336.50	1422.24	4585.00	236.41	784.04	0
0043	23013.71	0	0	394.04	3073.12	0
0044	0	2533.77	0	97.47	0	0
0045	0	3446.37	0	143.12	1724.63	0
0046	9910.13	1486.08	0	134.58	169.29	0
0047	2475.21	2522.60	0	148.61	932.78	0
0048	5265.29	1650.17	0	148.37	0	0
0049	3768.46	2868.50	0	60.68	2460.75	0
0050	5573.32	4560.80	3957.66	12.93	0	0
0051	10500.58	3552.29	0	582.41	1993.92	0
0052	17855.54	2751.67	0	192.02	0	0
0053	3476.22	5621.76	1825.52	169.11	566.64	0
0054	0	1889.72	0	19.89	0	0
0055	2016.76	4933.67	0	51.21	0	0
0056	7409.66	2079.11	0	281.22	1697.73	0
0057	3365.74	1769.65	0	131.28	799.61	0
0058	1359.29	4462.35	0	69.80	0	0
0059	1335.67	1630.26	0	82.38	0	0
0060	2017.42	0	0	42.01	0	0
0061	11783.02	0	0	10.31	0	1
0062	3633.50	0	0	81.75	0	0
0063	3029.72	5774.00	0	391.61	403.23	0
0064	14709.50	1013.05	0	195.11	0	0
0065	0	3597.27	0	83.46	0	0
0066	1246.11	1486.60	0	77.61	996.91	0
0067	3742.61	0	0	49.19	1743.76	0
0068	3064.36	1350.47	0	185.33	482.30	0
0069	4247.44	15905.31	0	317.15	0	0
0070	0	12843.53	0	14.87	49.35	0
0071	7961.75	2308.94	0	374.90	2514.82	0
0072	2527.02	0	0	11.24	0	0
0073	11895.07	1667.92	0	486.66	618.68	0
0074	1753.40	1081.81	2506.19	144.20	0	0
0075	5473.57	5144.19	2940.90	225.69	681.66	0
0076	1173.44	0	3953.40	91.81	1816.78	0
0077	4866.59	1566.82	0	82.96	0	0
0078	15590.63	7152.18	0	328.60	0	0
0079	2617.54	1036.76	0	125.26	837.94	0
0080	3760.50	0	272.46	70.18	0	1
0081	3479.19	1254.69	0	17.61	0	0
0082	1268.16	0	0	45.68	0	0
0083	1311.77	4719.80	0	211.14	79.86	0
0084	0	3209.07	0	148.49	0	0
0085	4409.75	6635.95	0	499.80	0	0
0086	2036.86	6821.39	0	129.26	0	0
0087	6911.58	4375.92	0	372.82	3608.19	0
0088	5525.80	0	0	10.26	0	0
0089	3578.79	2407.14	3452.84	98.74	0	0
0090	2803.50	1213.55	0	141.88	0	0
0091	2702.22	11773.20	0	295.16	1016.41	1
0092	6688.13	11247.77	0	577.65	0	0
0093	0	4914.71	0	27.90	0	0
0094	8404.26	12765.89	601.20	485.80	0	0
0095	0	1045.64	294.48	25.47	0	0
0096	6800.20	0	0	155.34	272.09	0
0097	2207.00	6833.92	0	11.15	0	0
0098	2423.52	5801.09	0	321.76	0	0
0099	7729.25	3145.21	0	247.47	3297.19	0
0100	2339.37	6176.94	0	305.97	0	0
0101	5673.58	6837.35	0	73.16	0	0
0102	2288.45	0	0	17.83	0	0
0103	0	0	1048.66	11.46	0	0
0104	0	4557.50	0	98.56	0	0
0105	11667.87	3454.63	0	140.31	348.27	0
0106	6425.15	7800.81	0	446.31	0	0
0107	1271.00	0	0	45.45	1578.87	0
0108	1550.58	3570.18	0	236.71	0	0
0109	4369.66	5973.03	0	133.22	57.84	0
0110	3100.36	0	0	96.92	0	0
0111	1156.09	1361.91	0	30.57	2750.50	0
0112	6083.22	1284.01	0	112.18	0	0
0113	14841.56	0	0	583.56	0	0
0114	1668.65	5217.80	0	290.98	181.77	1
0115	3594.16	6635.59	0	358.21	3905.91	0
0116	2460.34	2339.95	0	13.53	617.59	0
0117	11894.62	0	0	174.08	2858.10	0
0118	1763.64	1030.42	1411.27	68.61	425.38	1
0119	5368.18	0	0	206.49	0	0
0120	3522.84	0	0	29.18	0	0
0121	1917.85	1011.14	0	110.25	0	0
0122	3197.48	5391.06	0	366.86	0	0
0123	5980.38	0	0	26.41	0	0
0124	0	4456.47	0	46.23	0	0
0125	1434.98	9741.90	3887.46	463.83	55.75	0
0126	1496.75	2049.77	0	38.47	0	0
0127	4864.87	1878.68	0	167.60	0	0
0128	1022.81	1117.37	0	103.29	0	1
0129	1490.34	3349.58	0	223.45	184.44	0
0130	1477.71	3611.90	0	176.58	0	0
0131	4723.73	2063.80	0	257.29	0	0
0132	7672.16	0	1728.99	277.50	385.19	0
0133	0	1058.24	0	50.42	0	0
0134	0	1858.65	0	55.38	0	0
0135	3552.01	0	1977.35	169.63	0	0
0136	1613.50	1903.49	0	16.21	1285.03	0
0137	1788.96	2552.93	0	40.21	0	0
0138	3600.81	5157.39	0	340.77	0	0
0139	6046.10	9173.49	0	305.71	0	0
0140	1799.00	10939.11	0	96.87	0	0
0141	7255.51	1267.87	0	25.55	0	0
0142	1311.54	4134.03	0	215.09	0	0
0143	11096.35	0	0	62.56	0	0
0144	7228.57	2028.42	0	56.82	0	0
0145	1161.49	3850.20	0	92.78	3825.09	1
0146	1023.78	5466.14	0	42.27	0	0
0147	0	1273.83	0	19.53	0	0
0148	0	2072.41	722.69	11.87	0	0
0149	5693.12	4820.58	0	88.87	0	0
0150	2442.68	0	0	68.62	0	0
0151	2257.18	2077.63	0	60.15	0	0
0152	5047.35	1659.31	87.14	21.96	0	0
0153	3094.43	2519.10	0	111.30	549.10	0
0154	1470.47	8205.32	0	148.41	939.05	0
0155	3626.25	3244.23	0	49.08	0	0
0156	11584.49	1810.84	0	9.33	0	0
0157	2543.33	0	0	108.04	0	0
0158	3412.29	1105.04	917.83	183.54	0	0
0159	3266.05	1354.48	0	156.58	845.17	0
0160	4694.76	0	0	183.42	2478.06	0
0161	3303.08	11668.58	0	515.61	815.22	0
0162	2577.18	0	0	50.21	0	0
0163	8617.21	0	0	43.77	0	0
0164	3906.24	0	0	11.79	0	0
0165	3426.74	4417.58	0	102.24	0	0
0166	0	0	3281.64	28.91	0	0
0167	11853.33	5538.97	0	207.67	1225.88	0
0168	3075.54	18320.19	185.03	364.23	0	0
0169	3006.93	0	0	40.16	2477.55	1
0170	20515.87	2545.70	0	503.00	547.01	1
0171	1895.20	2775.65	0	154.31	0	0
0172	10663.56	2330.94	0	49.91	0	0
0173	0	1271.16	0	28.36	451.16	0
0174	8357.45	1527.01	0	371.55	0	0
0175	0	5126.51	0	148.71	342.91	0
0176	0	1710.90	0	78.94	0	0
0177	4382.34	9111.80	2851.97	426.26	0	0
0178	8253.30	1213.17	0	409.04	0	0
0179	3111.90	7651.82	0	527.94	112.56	0
0180	5903.00	3136.86	0	422.37	0	0
0181	1607.94	1115.73	0	129.94	2073.34	0
0182	2563.88	6138.31	2495.19	81.02	0	0
0183	0	1000.13	0	42.81	0	0
0184	1197.77	9427.19	0	12.08	0	0
0185	2693.10	1774.66	0	47.88	0	0
0186	2736.57	0	0	93.45	0	0
0187	0	2232.82	0	41.47	1372.03	0
0188	1381.74	0	0	11.25	0	0
0189	6540.32	2765.70	727.43	197.56	0	0
0190	0	2823.08	0	50.02	0	0
0191	3252.21	0	387.51	21.77	217.70	0
0192	0	6501.80	0	312.28	0	0
0193	13404.67	1973.92	0	328.37	0	0
0194	0	1015.28	0	44.35	211.87	0
0195	0	3618.89	0	10.95	0	0
0196	1183.81	0	0	27.65	2103.27	0
0197	0	5734.03	0	129.38	0	0
0198	0	8648.13	0	398.56	0	0
0199	11033.48	18030.72	0	704.74	0	1
0200	10377.60	3016.50	2200.52	435.64	895.71	0
0201	1842.42	1421.65	0	53.70	1000.21	0
0202	4776.25	1604.85	0	260.63	0	0
0203	1426.36	0	0	31.48	0	0
0204	0	1396.97	0	10.00	0	0
0205	1996.05	1288.69	0	37.99	0	0
0206	5904.80	9936.69	1041.47	465.39	0	0
0207	3931.68	0	0	25.82	0	1
0208	2309.29	1129.97	0	9.32	0	0
0209	7454.83	2421.46	0	227.21	0	0
0210	1114.90	8992.85	0	330.47	0	0
0211	0	1904.33	2385.51	83.32	110.11	0
0212	1751.80	3445.88	0	59.61	0	0
0213	3720.78	7436.64	0	406.80	0	0
0214	0	1879.56	0	40.33	0	0
0215	2485.67	2560.23	177.31	99.55	27.28	0
0216	2299.26	3765.31	0	115.46	0	0
0217	1086.43	2857.16	0	116.54	1430.00	0
0218	19544.83	7404.07	0	540.37	0	0
0219	0	6146.02	0	95.56	0	0
0220	4579.84	1991.25	0	173.58	0	0
0221	1190.88	2441.19	2952.89	67.25	0	0
0222	1950.26	1755.71	0	182.84	0	0
0223	1445.13	0	0	49.68	4716.47	0
0224	7432.15	2469.31	0	193.59	0	0
0225	0	3861.08	0	139.96	67.37	0
0226	2488.66	0	1729.90	43.45	1274.21	0
0227	0	3128.92	0	96.10	0	0
0228	2648.10	2490.66	0	119.66	4494.82	0
0229	8851.83	0	0	117.42	0	0
0230	2828.12	4301.79	506.59	55.87	0	0
0231	0	23141.21	0	228.96	1943.23	0
0232	4808.29	1509.76	0	151.17	0	0
0233	1920.51	2132.49	0	13.28	0	0
0234	1620.55	1437.18	0	83.28	0	0
0235	3258.21	1550.05	0	11.99	3265.84	0
0236	3768.00	2610.81	0	46.13	0	0
0237	3812.76	1553.44	0	102.76	0	0
0238	2691.19	2538.11	0	128.46	2185.31	0
0239	10411.23	0	0	399.49	1883.95	0
0240	3176.45	7679.08	0	338.93	0	0
0241	6212.23	2925.73	0	98.61	259.97	0
0242	2565.45	0	0	119.12	793.60	0
0243	5423.60	2546.52	0	176.63	0	0
0244	14357.81	3122.78	0	730.92	0	0
0245	6009.01	0	0	245.31	0	0
0246	4708.63	6046.71	0	47.41	0	0
0247	10201.75	1553.51	0	125.75	1763.56	0
0248	0	3146.13	0	128.85	0	0
0249	8025.68	1582.83	0	473.68	1732.72	0
0250	6296.26	5611.60	0	11.96	0	0
0251	2153.65	0	0	98.51	0	0
0252	5928.10	0	0	150.02	0	0
0253	3868.45	3856.01	0	228.34	1399.57	0
0254	6527.19	1029.38	0	373.68	0	0
0255	14701.64	0	1123.26	134.81	0	0
0256	2929.60	0	0	11.70	196.06	1
0257	0	3872.29	0	14.57	0	0
0258	12613.87	1556.27	0	482.93	0	1
0259	9785.90	10305.56	0	761.37	0	0
0260	7512.04	1167.07	0	264.77	747.16	0
0261	4274.36	1338.23	0	80.94	1549.69	0
0262	2844.42	5032.20	0	370.95	0	0
0263	1611.46	2202.50	0	42.91	1689.85	0
0264	1423.71	5172.32	0	27.03	0	0
0265	1091.91	1153.21	0	65.09	0	0
0266	5462.80	0	0	96.18	0	0
0267	6958.38	9916.00	0	412.42	0	0
0268	1948.07	8320.06	0	482.89	0	0
0269	5070.74	2725.89	0	201.48	0	0
0270	1854.09	1737.39	0	71.35	249.09	0
0271	6108.41	0	5024.79	68.12	139.80	0
0272	0	1802.35	0	11.38	1082.11	0
0273	1954.83	4083.14	0	248.74	0	0
0274	2000.95	2946.42	0	51.13	0	0
0275	2459.60	1534.01	0	159.59	0	0
0276	2959.94	2396.82	0	95.68	1442.64	0
0277	19841.65	2620.36	0	963.65	0	0
0278	2957.73	2286.18	0	110.52	1066.09	0
0279	6937.46	3984.11	1354.73	276.85	896.25	0
0280	2039.71	4649.19	0	269.82	0	0
0281	4932.55	3746.15	0	169.41	0	0
0282	3861.21	3758.40	0	40.16	0	0
0283	3451.45	1589.61	0	169.07	464.31	0
0284	2509.13	5457.41	0	270.25	0	0
0285	3339.80	4662.86	0	331.93	0	0
0286	1454.59	6587.65	0	326.35	0	0
0287	3716.56	0	0	158.14	0	0
0288	2025.08	12533.84	0	635.05	0	0
0289	1351.14	0	0	9.04	0	0
0290	0	5418.11	235.94	26.72	0	0
0291	4484.77	4366.26	0	129.24	71.15	0
0292	1367.08	3843.98	0	212.13	484.19	0
0293	1631.71	5238.15	0	285.30	3762.60	0
0294	1337.14	0	0	9.03	0	0
0295	12344.62	0	498.24	91.38	1546.45	0
0296	0	3588.36	0	104.11	0	0
0297	3756.11	0	0	78.05	285.14	0
0298	1005.81	1547.90	0	42.40	413.52	0
0299	20036.61	0	0	240.26	0	0
0300	0	1933.12	0	10.63	0	0
0301	1366.82	0	0	18.30	0	0
0302	2823.98	6893.24	0	300.23	58.60	0
0303	14830.94	0	0	245.06	31.45	1
0304	6331.05	5627.59	0	287.73	0	0
0305	2121.82	11665.35	0	554.96	0	0
0306	5154.58	5759.50	0	167.75	0	0
0307	2992.30	14126.18	0	119.41	0	0
0308	3344.95	2939.47	0	154.29	0	0
0309	4693.66	5755.82	0	12.82	3083.82	0
0310	9784.00	2767.96	0	197.43	0	0
0311	0	11321.46	0	303.74	0	0
0312	1301.18	2355.45	0	133.96	4623.30	0
0313	2233.52	0	0	51.19	0	0
0314	3871.18	1447.77	0	146.28	2717.00	0
0315	2294.68	1711.85	371.10	69.01	1702.65	0
0316	1017.10	1999.24	1537.71	28.36	2021.97	0
0317	7109.51	2598.45	0	289.68	0	0
0318	5250.39	0	0	97.60	367.39	0
0319	12356.28	1524.41	1326.15	170.73	2961.44	0
0320	2207.65	1940.68	0	44.51	192.58	0
0321	5146.96	2309.31	0	214.69	0	0
0322	7409.15	0	0	127.91	107.90	0
0323	3635.78	4323.77	0	173.67	0	0
0324	6978.23	0	0	232.26	0	0
0325	2108.98	1202.88	0	165.45	0	0
0326	1853.80	1325.88	0	101.97	0	0
0327	0	3330.43	0	38.93	0	0
0328	8745.23	2574.63	336.35	89.17	0	0
0329	5243.34	1372.61	0	194.48	408.16	0
0330	1588.81	0	0	11.86	530.88	0
0331	2543.78	2282.52	0	146.98	0	0
0332	1042.65	3557.59	0	173.25	0	0
0333	1304.67	0	0	27.94	0	1
0334	2426.50	1042.59	0	100.60	480.12	0
0335	4081.69	1403.07	0	15.44	0	0
0336	17608.80	2285.34	0	138.44	0	0
0337	1948.46	0	0	71.87	0	0
0338	4402.10	1434.14	0	70.38	0	0
0339	11206.13	5713.13	0	634.87	403.42	1
0340	4543.15	7067.27	0	288.28	0	0
0341	4751.91	0	0	188.71	0	0
0342	0	1157.59	0	23.08	2067.37	0
0343	13711.62	0	0	440.66	0	0
0344	5298.70	4685.60	0	302.65	0	0
0345	4562.47	0	0	145.25	0	0
0346	3495.72	0	0	86.75	1221.86	0
0347	1127.18	2375.31	1314.80	159.29	232.13	0
0348	4717.21	2006.86	0	259.24	0	0
0349	2317.92	4268.63	0	192.97	0	0
0350	2883.49	0	0	143.20	3639.57	0
0351	1487.24	3199.28	0	115.33	762.00	0
0352	10498.85	1025.50	0	380.15	1527.66	0
0353	8172.76	2819.96	0	354.62	63.72	0
0354	6594.10	3439.71	0	366.86	0	0
0355	1848.95	1274.18	0	122.80	0	0
0356	3823.20	1506.76	0	233.41	0	1
0357	20658.48	0	0	461.18	0	0
0358	1446.32	0	0	30.29	0	0
0359	26772.65	0	0	386.98	0	0
0360	0	9648.19	0	9.16	134.10	0
0361	3854.49	5962.13	0	30.99	0	0
0362	1777.52	3483.02	2291.45	158.78	1568.67	0
0363	1172.20	3904.72	0	76.44	395.25	0
0364	7782.19	0	498.55	321.44	0	0
0365	5037.16	1633.08	0	122.78	0	0
0366	0	7773.57	6241.68	16.82	0	0
0367	2274.52	0	0	84.10	0	0
0368	4451.21	2583.35	0	273.60	305.83	0
0369	4933.14	0	0	113.43	0	0
0370	1265.86	0	3781.17	85.74	0	0
0371	6761.01	2990.82	0	39.13	1592.89	0
0372	5798.93	0	634.66	264.23	4708.21	0
0373	1112.47	9228.72	0	421.61	0	0
0374	2580.12	3411.89	0	208.32	0	0
0375	6217.26	0	0	285.09	0	0
0376	0	5839.99	0	177.36	0	0
0377	7728.20	0	0	373.65	0	0
0378	9272.04	1426.83	5880.18	125.19	0	0
0379	2188.50	2838.64	0	169.94	0	0
0380	1066.39	0	0	11.92	0	0
0381	11322.57	2064.06	0	173.22	439.25	0
0382	9051.43	1704.18	0	213.89	158.74	0
0383	0	1640.33	0	22.32	396.43	0
0384	4967.33	1638.40	0	201.64	0	0
0385	6719.78	8401.16	349.53	167.01	91.87	0
0386	2526.00	0	0	68.04	1425.69	0
0387	1846.80	3736.17	0	93.90	0	0
0388	3219.92	0	1071.85	44.96	0	0
0389	13691.72	1089.14	0	348.34	0	0
0390	1903.62	2062.09	0	181.26	0	0
0391	0	1259.02	0	32.34	2984.11	0
0392	0	10597.84	0	263.59	0	0
0393	1979.69	0	0	79.01	0	0
0394	2513.76	0	0	95.12	0	0
0395	2066.53	0	168.70	33.98	0	0
0396	3230.50	3438.93	0	72.19	0	0
0397	1257.25	6143.55	0	356.21	78.34	1
0398	5259.60	0	0	179.01	0	0
0399	2887.83	10332.71	0	374.58	0	0
0400	16224.88	3331.34	0	750.88	0	1
0401	3393.74	3206.20	0	202.92	419.32	1
0402	7154.82	4542.62	0	344.41	0	0
0403	4736.13	11980.37	0	608.88	0	0
0404	4854.49	7870.68	0	188.24	0	0
0405	0	1818.78	0	60.62	0	0
0406	1845.81	7176.79	0	253.56	0	0
0407	0	4315.39	0	98.93	70.86	0
0408	11629.68	5770.22	0	697.94	1920.82	0
0409	0	3752.11	0	38.19	0	0
0410	4033.74	1392.43	0	9.09	0	0
0411	2835.02	6595.01	0	410.86	0	0
0412	1562.33	0	0	32.57	1848.20	0
0413	2821.10	4360.73	0	204.64	0	0
0414	0	1442.10	0	21.87	0	0
0415	5588.93	5043.15	0	209.41	257.34	0
0416	0	1920.26	0	15.93	1054.20	0
0417	2210.86	1014.33	1605.70	52.47	1230.65	0
0418	3350.70	0	0	113.24	900.24	0
0419	9403.14	1308.30	0	370.28	0	0
0420	0	2365.78	0	89.26	0	0
0421	9567.35	0	3739.36	156.57	0	0
0422	6829.51	0	3341.53	169.82	731.09	0
0423	7247.00	3960.02	0	480.09	5202.05	0
0424	2852.28	3993.46	0	169.76	0	0
0425	10992.03	3836.46	0	438.35	0	0
0426	1063.81	6336.73	0	260.10	0	0
0427	4970.39	0	0	138.64	502.53	0
0428	0	1676.57	0	83.58	1146.94	0
0429	2391.86	1970.30	0	112.32	0	0
0430	4321.75	1267.54	0	224.92	1834.35	1
0431	2656.57	1527.66	0	62.72	0	0
0432	2022.18	0	0	41.56	0	0
0433	1837.03	1347.42	0	127.36	0	0
0434	8138.88	4905.21	2197.82	204.40	0	0
0435	1207.11	4966.44	0	303.50	0	0
0436	2183.49	3042.51	0	108.63	1330.18	0
0437	1256.96	6738.32	0	218.13	0	0
0438	0	5520.96	0	96.78	2304.27	0
0439	0	4791.76	0	102.25	517.03	0
0440	0	4813.08	0	193.29	0	0
0441	11716.57	5098.57	0	416.32	0	0
0442	3737.07	1376.97	0	252.99	0	0
0443	19209.31	1073.62	790.77	990.47	0	0
0444	4876.73	2948.25	0	344.44	5113.29	0
0445	4584.58	7762.60	0	363.67	0	0
0446	1747.77	1939.02	0	176.50	0	0
0447	2371.58	2914.74	0	120.39	0	0
0448	0	1126.01	0	13.55	765.53	0
0449	1509.73	2788.60	0	171.29	0	0
0450	3776.55	0	0	118.24	0	0
0451	1376.23	1574.42	0	142.31	0	0
0452	5880.58	2574.93	987.22	82.51	0	0
0453	5334.47	12344.25	0	112.76	0	0
0454	0	1800.54	0	46.39	0	0
0455	0	6424.90	0	140.17	0	0
0456	2412.99	19608.35	0	256.63	0	0
0457	3019.95	0	0	125.66	0	0
0458	0	0	241.27	9.81	0	1
0459	13568.92	11878.99	0	1118.01	0	1
0460	0	2809.59	0	45.83	0	0
0461	1271.46	10703.40	0	348.29	2660.92	0
0462	14787.28	0	1256.28	383.83	0	0
0463	1744.11	4004.43	0	159.20	0	0
0464	2733.61	3291.72	0	273.64	0	0
0465	17220.75	1625.99	0	77.30	0	0
0466	9551.72	0	0	11.99	0	0
0467	7055.45	3567.18	1916.87	34.50	0	0
0468	0	2442.81	0	35.61	2585.16	0
0469	7653.82	0	0	178.05	0	0
0470	0	4758.29	0	192.07	0	0
0471	0	2110.20	0	58.16	0	0
0472	9712.19	3126.38	0	553.83	0	0
0473	0	3503.84	857.17	145.70	0	0
0474	3150.67	0	0	24.85	0	0
0475	1336.94	0	0	47.09	0	1
0476	2048.32	1740.92	0	151.21	0	0
0477	1935.86	2887.26	2349.58	261.97	0	0
0478	2125.58	1021.12	0	23.08	0	0
0479	5767.75	1991.96	0	162.27	0	1
0480	2324.13	0	0	105.81	0	1
0481	8695.28	4965.75	502.00	535.66	0	0
0482	11024.62	1023.61	2552.08	184.65	0	0
0483	3609.82	0	0	87.90	0	0
0484	11200.31	1527.44	0	435.55	0	1
0485	1923.25	1400.00	0	101.77	0	0
0486	2426.56	5332.07	0	376.99	0	0
0487	12716.84	4939.56	0	246.83	0	0
0488	1520.00	5831.77	1892.42	223.36	0	0
0489	2508.57	1563.74	0	86.37	0	0
0490	4685.55	3891.66	777.76	428.85	609.02	0
0491	7648.91	0	0	196.40	959.57	0
0492	7418.18	1129.24	321.79	369.21	0	0
0493	7155.65	1434.80	0	57.45	2015.24	0
0494	4050.68	0	0	86.89	0	0
0495	4009.69	0	0	87.70	0	0
0496	1307.94	6002.58	0	32.29	0	0
0497	2535.56	0	0	44.70	0	0
0498	3180.47	6100.07	0	395.57	0	0
0499	5623.79	4049.73	0	186.98	0	0
0500	2871.45	3047.47	770.96	23.83	0	0
0501	1893.45	4410.00	0	114.94	333.50	0
0502	10499.51	3943.79	0	526.03	0	0
0503	4904.68	4842.51	0	113.17	577.15	0
0504	0	5386.06	0	13.50	0	0
0505	1138.39	0	1420.09	65.63	0	0
0506	0	6308.88	0	9.35	2668.23	0
0507	1767.71	3916.90	0	221.83	0	1
0508	2764.77	0	0	27.26	0	0
0509	10295.24	0	0	437.97	0	0
0510	3402.17	1371.47	0	106.51	0	1
0511	1662.64	1978.22	0	133.18	0	0
