ID_respondente	ult_avaliacao_clima	qtde_projetos_3m	qtde_projetos_6m	qtde_projetos_12m	qtde_projetos_24m	media_horas_trabalho_3m	media_horas_trabalho_6m	media_horas_trabalho_12m	tempo_empresa	flag_promocao_3m	flag_promocao_6m	flag_promocao_12m	flag_promocao_vida	departamento	patamar_salario	turnover
1	0.92	0	5	7	10	183	180	186	2	1	0	0	1	marketing/produto	01_menor_igual_media	0
2	0.73	3	3	4	6	158	159	154	4	0	0	0	0	vendas	02_acima_media	0
3	0.8	1	3	6	9	171	176	174	3	0	0	0	0	dados	01_menor_igual_media	0
4	0.66	0	4	7	9	160	157	162	10	0	0	0	1	marketing/produto	01_menor_igual_media	0
5	0.06	3	6	7	9	202	192	182	5	0	0	0	1	vendas	01_menor_igual_media	0
6	0.14	3	3	4	4	146	151	155	4	0	0	0	0	dados	01_menor_igual_media	0
7	0.99	1	5	5	6	150	158	159	3	0	0	0	0	vendas	01_menor_igual_media	0
8		1	6	8	11	191	192	180	5	0	0	0	0	dados	01_menor_igual_media	0
9		2	5	7	9	154	155	155	6	0	0	0	1	marketing/produto	01_menor_igual_media	0
10	0.87	1	5	5	7	162	159	159	3	0	0	0	1	vendas	01_menor_igual_media	0
11	0.87	3	3	3	8	156	156	156	5	0	0	0	1	TI/suporte	01_menor_igual_media	0
12	0.37	2	5	6	10	146	156	162	1	0	0	0	1	vendas	01_menor_igual_media	1
13	0.94	1	4	5	6	152	158	146	3	0	0	0	1	vendas	01_menor_igual_media	0
14	0.06	3	4	6	8	193	192	181	6	0	0	0	0	dados	02_acima_media	0
15	0.65	2	3	4	5	153	159	149	3	0	0	0	0	vendas	01_menor_igual_media	1
16	0.74	3	4	5	9	153	156	153	3	0	0	0	0	vendas	02_acima_media	0
17	0.98	4	5	5	6	176	179	178	5	0	0	0	1	marketing/produto	01_menor_igual_media	0
18	0.75	3	4	5	8	185	184	187	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
19	0.24	0	2	4	4	150	154	146	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
20	0.19	3	6	9	10	183	192	189	4	0	0	0	0	RH/financeiro	01_menor_igual_media	1
21	0.98	0	4	7	8	158	155	156	1	0	0	0	1	marketing/produto	01_menor_igual_media	0
22	0.58	2	2	5	9	163	155	167	3	0	1	0	1	vendas	01_menor_igual_media	0
23	0.23	1	4	5	7	158	159	157	4	0	0	0	0	marketing/produto	01_menor_igual_media	0
24	0.38	1	4	7	11	178	178	186	4	0	0	0	1	dados	01_menor_igual_media	0
25	0.38	3	3	3	4	155	156	152	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
26	0.92	3	4	4	6	168	159	167	1	0	0	0	1	dados	01_menor_igual_media	0
27	0.14	0	4	4	9	184	190	194	1	0	0	0	1	TI/suporte	01_menor_igual_media	0
28	0.72	0	3	3	5	150	151	142	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
29	0.17	1	3	4	4	161	164	157	3	0	0	0	1	TI/suporte	02_acima_media	0
30	0.72	0	2	5	10	155	155	154	3	0	0	0	1	dados	01_menor_igual_media	0
31	0.94	1	2	3	3	155	158	155	5	0	0	0	1	dados	01_menor_igual_media	0
32	0.13	3	6	8	8	182	183	175	5	0	0	0	0	TI/suporte	01_menor_igual_media	0
33	0.75	2	4	5	7	150	154	152	4	0	0	0	1	vendas	01_menor_igual_media	1
34	0.92	1	3	5	6	159	155	160	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
35	0.86	4	4	5	8	178	179	176	1	0	0	0	0	dados	01_menor_igual_media	0
36		1	4	5	5	158	158	160	4	0	0	0	0	TI/suporte	01_menor_igual_media	0
37	0.65	0	3	5	9	165	158	160	1	0	0	0	0	TI/suporte	01_menor_igual_media	0
38	0.13	1	6	8	13	172	181	190	4	0	0	0	1	TI/suporte	01_menor_igual_media	0
39	0.91	2	5	7	7	184	184	180	1	0	0	0	0	vendas	01_menor_igual_media	1
40	0.57	2	3	4	4	155	161	158	3	0	0	0	1	dados	01_menor_igual_media	0
41	0.76	1	4	7	12	170	163	163	3	0	0	0	0	RH/financeiro	02_acima_media	0
42	0.4	1	4	7	7	157	155	156	3	0	0	0	1	vendas	01_menor_igual_media	0
43		3	3	5	7	152	156	155	4	0	0	0	1	TI/suporte	01_menor_igual_media	0
44	0.83	2	4	6	8	155	157	166	2	0	0	0	0	TI/suporte	01_menor_igual_media	0
45	0.5	0	4	6	9	147	155	167	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
46	0.91	0	5	8	10	154	154	156	2	0	0	0	1	marketing/produto	01_menor_igual_media	0
47	0.87	1	4	7	7	151	153	156	3	0	0	0	0	vendas	01_menor_igual_media	0
48	0.6	0	5	5	7	174	184	186	2	0	0	0	1	vendas	01_menor_igual_media	0
49	0.9	0	3	4	9	191	181	173	1	0	0	0	1	marketing/produto	02_acima_media	0
50	0.27	0	2	2	6	160	156	166	3	0	0	0	0	dados	01_menor_igual_media	0
51	0.11	1	3	3	7	155	165	154	4	0	0	0	0	TI/suporte	02_acima_media	0
52	0.66	2	2	2	5	148	153	156	3	0	0	0	0	dados	01_menor_igual_media	0
53		4	5	5	8	151	154	161	6	0	0	0	1	marketing/produto	01_menor_igual_media	0
54	0.38	3	4	7	11	192	184	189	3	0	0	0	0	marketing/produto	02_acima_media	0
55	0.78	3	5	5	10	184	179	167	5	0	0	0	0	marketing/produto	01_menor_igual_media	1
56	0.96	1	3	4	5	146	156	154	3	0	0	1	1	RH/financeiro	02_acima_media	0
57	0.39	3	5	5	9	172	180	181	3	0	0	0	1	vendas	01_menor_igual_media	0
58	0.16	0	5	5	10	154	155	152	6	0	0	0	1	TI/suporte	01_menor_igual_media	0
59	0.16	0	3	6	10	169	161	157	4	0	0	0	0	TI/suporte	01_menor_igual_media	0
60	0.79	0	5	5	10	173	174	171	5	0	0	0	1	vendas	01_menor_igual_media	1
61	1	0	4	4	6	182	186	183	5	0	1	0	1	dados	01_menor_igual_media	0
62	0.94	4	5	5	8	154	154	147	3	0	0	0	1	vendas	01_menor_igual_media	0
63	0.57	4	4	7	12	178	176	173	1	0	0	0	0	vendas	01_menor_igual_media	1
