ID_hash	ult_avaliacao_clima	qtde_projetos_3m	qtde_projetos_6m	qtde_projetos_12m	qtde_projetos_24m	media_horas_trabalho_3m	media_horas_trabalho_6m	media_horas_trabalho_12m	tempo_empresa	flag_promocao_3m	flag_promocao_6m	flag_promocao_12m	flag_promocao_vida	departamento	patamar_salario	turnover
1		0	4	4	5	162	158	148	9	1	0	0	1	RH/financeiro	01_menor_igual_media	0
2	0.87	0	2	4	5	145	154	161	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
3	0.98	2	4	4	8	176	181	192	1	0	0	0	0	dados	01_menor_igual_media	0
4	0.65	3	5	7	12	154	156	154	3	0	0	0	1	dados	01_menor_igual_media	0
5	0.5	3	4	5	10	174	174	170	1	0	0	0	0	dados	01_menor_igual_media	0
6	0.98	0	3	6	10	164	154	153	3	0	0	0	1	TI/suporte	01_menor_igual_media	1
7	0.95	0	4	5	9	158	159	158	5	0	0	1	1	TI/suporte	01_menor_igual_media	0
8	0.92	4	4	4	8	189	184	181	2	0	0	0	0	vendas	01_menor_igual_media	0
9	0.82	0	3	6	10	162	159	160	1	0	0	0	0	TI/suporte	01_menor_igual_media	1
10	0.26	4	5	5	8	156	157	163	4	0	0	0	0	TI/suporte	01_menor_igual_media	0
11	0.99	0	3	6	8	167	173	167	4	0	0	0	0	RH/financeiro	02_acima_media	0
12	0.99	3	3	4	5	183	185	173	4	0	0	0	1	RH/financeiro	01_menor_igual_media	0
13	0.8	0	5	5	6	151	153	153	4	0	0	0	0	TI/suporte	01_menor_igual_media	0
14	0.9	0	3	5	9	174	175	186	4	0	0	0	0	vendas	01_menor_igual_media	0
15	0.9	3	4	6	11	148	157	157	8	0	0	0	0	marketing/produto	01_menor_igual_media	0
16		2	2	4	5	163	156	166	4	0	0	0	0	vendas	01_menor_igual_media	1
17	0.91	2	4	5	10	182	180	170	1	0	0	0	0	vendas	02_acima_media	0
18	0.29	1	2	2	5	156	153	148	3	0	0	0	0	dados	01_menor_igual_media	0
19	0.26	2	2	3	4	162	154	159	3	0	0	0	1	vendas	01_menor_igual_media	0
20	1	1	4	7	7	164	168	173	3	0	0	0	1	dados	01_menor_igual_media	0
21	0.06	0	4	5	8	163	154	151	5	0	0	0	0	RH/financeiro	01_menor_igual_media	0
22	0.26	1	3	4	8	169	168	157	1	0	0	0	0	marketing/produto	01_menor_igual_media	1
23	0.67	1	2	5	8	152	155	157	3	0	0	0	0	vendas	01_menor_igual_media	1
24	0.63	2	4	4	6	146	156	148	2	0	0	0	0	vendas	01_menor_igual_media	0
25	0.7	5	5	8	9	175	169	167	1	0	0	0	1	marketing/produto	01_menor_igual_media	0
26	0.27	2	4	7	8	168	168	176	3	0	0	0	0	marketing/produto	02_acima_media	0
27		1	4	6	7	179	180	180	2	0	0	0	0	dados	01_menor_igual_media	0
28	0.81	1	6	6	10	150	151	146	2	0	0	0	0	marketing/produto	01_menor_igual_media	0
29	0.91	0	4	7	7	156	157	155	3	0	0	0	0	RH/financeiro	01_menor_igual_media	0
30	0.99	5	5	5	8	157	155	146	1	0	0	0	0	dados	01_menor_igual_media	0
