ID_CLIENTE	 CATEGORIA	VALOR_PAGO	NOTA_SATISFACAO
0001	televisao	2190	6
0002	celular	1140	9
0003	celular	1570	7
0004	celular	970	6
0005	celular	970	10
0006	computador	1800	6
0007	televisao	1690	0
0008	celular	1070	10
0009	televisao	1610	7
0010	computador	1870	2
0011	celular	1800	10
0012	computador	1820	5
0013	televisao	1600	10
0014	televisao	1990	1
0015	televisao	1710	5
0016	celular	1000	10
0017	televisao	2350	6
0018	celular	1410	7
0019	celular	1200	8
0020	celular	1080	5
0021	celular	1110	8
0022	celular	1030	6
0023	celular	1080	10
0024	celular	1720	7
0025	celular	1370	8
0026	celular	1580	10
0027	televisao	1740	6
0028	computador	1720	3
0029	computador	1740	4
0030	televisao	1860	8
0031	celular	990	7
0032	celular	1030	4
0033	celular	1470	5
0034	celular	1610	5
0035	computador	1730	6
0036	televisao	1530	4
0037	televisao	1640	6
0038	celular	1000	10
0039	televisao	1600	10
0040	televisao	2450	8
0041	celular	1020	10
0042	computador	1770	4
0043	televisao	2080	9
0044	computador	1810	6
0045	celular	1020	8
0046	televisao	1910	4
0047	celular	1090	4
0048	computador	2810	10
0049	celular	1030	9
0050	televisao	1950	5
0051	computador	2790	10
0052	televisao	1980	5
0053	celular	1050	9
0054	celular	1050	10
0055	televisao	1550	8
0056	celular	1110	8
0057	televisao	1560	4
0058	televisao	2120	7
0059	computador	3040	9
0060	celular	1160	8
0061	celular	1030	10
0062	computador	1790	3
0063	televisao	1990	9
0064	televisao	1590	4
0065	computador	1910	5
0066	celular	1020	8
0067	televisao	1460	9
0068	computador	1980	9
0069	televisao	2460	5
0070	celular	1460	10
0071	televisao	2210	9
0072	televisao	2370	9
0073	celular	1090	9
0074	televisao	1700	6
0075	celular	1120	10
0076	computador	1900	1
0077	computador	2830	9
0078	celular	990	9
0079	celular	1320	1
0080	celular	1110	9
0081	celular	1150	10
0082	televisao	1220	7
0083	televisao	1960	3
0084	celular	1020	10
0085	celular	980	9
0086	computador	1580	7
0087	computador	1900	7
0088	celular	1190	10
0089	celular	1650	10
0090	celular	1000	9
0091	celular	1290	9
0092	celular	1410	6
0093	televisao	2280	8
0094	televisao	1580	9
0095	computador	2280	8
0096	televisao	1590	5
0097	televisao	1810	5
0098	celular	1010	9
0099	celular	1180	7
0100	televisao	3020	10
0101	celular	1370	6
0102	celular	1570	7
0103	televisao	1190	10
0104	televisao	1790	4
0105	televisao	2010	6
0106	celular	1050	9
0107	celular	1040	9
0108	televisao	1420	3
0109	celular	1120	7
0110	celular	950	10
0111	televisao	1700	6
0112	celular	1270	6
0113	computador	3320	9
0114	computador	1790	7
0115	computador	2370	9
0116	celular	990	10
0117	televisao	1940	3
0118	celular	1000	10
0119	celular	1360	10
0120	celular	1320	9
0121	celular	1060	8
0122	televisao	2390	9
0123	televisao	2040	1
0124	televisao	1870	4
0125	computador	1860	4
0126	televisao	2720	10
0127	celular	1530	8
0128	computador	1860	2
0129	celular	1090	5
0130	celular	1620	9
0131	celular	1260	10
0132	televisao	1750	10
0133	televisao	1510	8
0134	computador	1850	4
0135	celular	1150	6
0136	celular	1350	10
0137	televisao	2030	1
0138	televisao	1210	6
0139	celular	1080	9
0140	computador	1860	3
0141	televisao	2590	2
0142	celular	1800	8
0143	celular	1050	10
0144	celular	1550	8
0145	televisao	1460	2
0146	computador	1710	3
0147	computador	1950	1
0148	televisao	2000	5
0149	celular	1000	8
0150	celular	990	10
0151	celular	1000	9
0152	televisao	2140	2
0153	televisao	2680	3
0154	televisao	1680	8
0155	computador	2610	10
0156	televisao	1940	8
0157	celular	1390	8
0158	televisao	1550	5
0159	celular	920	7
0160	celular	1170	10
0161	celular	1270	6
0162	celular	1000	10
0163	celular	1670	9
0164	televisao	1440	8
0165	computador	2500	8
0166	celular	920	10
0167	celular	1120	9
0168	celular	1130	9
0169	celular	990	6
0170	televisao	2340	6
0171	celular	1180	10
0172	celular	1160	9
0173	celular	1400	10
0174	televisao	1430	7
0175	celular	1320	10
0176	televisao	1350	10
0177	televisao	1240	9
0178	televisao	2300	9
0179	celular	1090	9
0180	computador	1790	7
0181	televisao	1490	10
0182	celular	950	10
0183	computador	2100	9
0184	computador	1720	4
0185	celular	1090	6
0186	celular	1840	9
0187	celular	1140	10
0188	televisao	1430	2
0189	computador	1740	4
0190	celular	1010	8
0191	celular	1040	8
0192	celular	1080	10
0193	computador	1790	4
0194	computador	2400	8
0195	televisao	1550	5
0196	televisao	1930	7
0197	celular	1070	9
0198	celular	1170	10
0199	televisao	1420	7
0200	computador	1810	2
0201	televisao	2690	8
0202	computador	1690	2
0203	celular	1040	9
0204	celular	970	10
0205	celular	1060	10
0206	televisao	1860	4
0207	computador	2760	8
0208	televisao	1470	5
0209	celular	1400	9
0210	celular	1030	10
0211	celular	1040	9
0212	computador	2880	8
0213	televisao	1660	10
0214	computador	3210	9
0215	celular	1110	6
0216	computador	2680	8
0217	televisao	2000	0
0218	televisao	1360	5
0219	televisao	1590	10
0220	computador	2550	10
0221	televisao	1850	4
0222	celular	1020	10
0223	celular	1360	10
0224	computador	2330	10
0225	computador	2350	8
0226	televisao	2070	8
0227	celular	1040	8
0228	celular	1600	10
0229	computador	2910	8
0230	computador	1890	2
0231	celular	1140	7
0232	celular	1090	8
0233	celular	1170	8
0234	televisao	1670	9
0235	celular	1080	7
0236	televisao	1800	7
0237	televisao	1530	5
0238	televisao	1380	8
0239	celular	1150	8
0240	celular	1430	10
0241	celular	1130	8
0242	computador	1920	5
0243	celular	1120	8
0244	televisao	1770	4
0245	computador	1860	3
0246	celular	980	10
0247	televisao	1630	6
0248	celular	1080	10
0249	computador	2690	10
0250	televisao	2360	5
0251	televisao	1290	2
0252	celular	1010	10
0253	celular	1050	9
0254	celular	1440	7
0255	computador	1820	4
0256	televisao	2400	8
0257	celular	1010	4
0258	celular	1190	8
0259	celular	1140	10
0260	televisao	2100	7
0261	celular	1040	10
0262	televisao	1670	5
0263	celular	1800	8
0264	celular	1000	9
0265	computador	2280	8
