FUNCIONARIO_1	FUNCIONARIO_2
DS01	DS04
DS01	DS06
DS01	BA03
DS01	DS10
DS01	DS11
DS01	DS13
DS01	DA05
DS01	DS15
DS01	DA04
DS01	DA08
DS01	DE01
DS01	DE02
DS01	DE04
DS01	DE06
DS01	DE08
DS01	BA05
DS01	BA06
DS01	BA10
DS01	ML05
DS02	DS04
DS02	DA02
DS02	DS06
DS02	DS09
DS02	DS10
DS02	DS11
DS02	BA07
DS02	DS13
DS02	DA05
DS02	DS15
DS02	DS14
DS02	BA09
DS02	DA09
DS02	DE03
DS02	DE04
DS02	DE10
DS02	DA07
DS02	ML01
DS02	ML03
DS03	DS04
DS03	DA02
DS03	DS06
DS03	BA03
DS03	DS08
DS03	DS09
DS03	DS10
DS03	DS11
DS03	BA07
DS03	DS13
DS03	DS15
DS03	DA01
DS03	DA04
DS03	DA09
DS03	DE04
DS03	DE07
DS03	DE09
DS03	DE10
DS03	BA02
DS03	BA06
DS03	BA08
DS03	ML01
DS03	ML02
DS03	ML04
DS04	DA02
DS04	DS06
DS04	DS08
DS04	DS09
DS04	DS10
DS04	DS11
DS04	BA07
DS04	DS13
DS04	DS15
DS04	DA03
DS04	DA06
DS04	DA10
DS04	DE02
DS04	ML01
DS04	ML02
DA02	DS06
DA02	BA03
DA02	DS08
DA02	DS09
DA02	DS11
DA02	BA07
DA02	DS13
DA02	DA05
DA02	DS15
DA02	DA03
DA02	DA09
DA02	DA10
DA02	DE05
DA02	DE07
DA02	DE09
DA02	DS12
DA02	ML02
DA02	ML03
DA02	ML05
DS06	DS08
DS06	DS09
DS06	DS10
DS06	DS11
DS06	BA07
DS06	DS13
DS06	DS15
DS06	DA01
DS06	DS05
DS06	BA09
DS06	DA08
DS06	DE01
DS06	DE06
DS06	DE07
DS06	DE09
DS06	DE10
DS06	BA05
DS06	ML01
BA03	DS08
BA03	DS09
BA03	DS10
BA03	DS11
BA03	DA05
BA03	DS15
BA03	DA01
BA03	BA09
BA03	DE01
BA03	DE05
BA03	BA04
BA03	BA06
BA03	DS12
BA03	BA10
BA03	ML01
BA03	ML02
BA03	ML03
DS08	DS09
DS08	DS11
DS08	BA07
DS08	DS13
DS08	DA05
DS08	DS15
DS08	DA03
DS08	DS14
DS08	DA09
DS08	DE09
DS08	DE10
DS08	DS07
DS08	DS12
DS08	DA07
DS08	ML01
DS09	DS10
DS09	BA07
DS09	DS13
DS09	DS15
DS09	DA03
DS09	DA04
DS09	DS14
DS09	BA09
DS09	DE05
DS09	DE10
DS09	DS07
DS09	BA05
DS10	DS11
DS10	BA07
DS10	DS13
DS10	DA05
DS10	DS15
DS10	DA01
DS10	DS05
DS10	DA06
DS10	DA08
DS10	DE03
DS10	DE05
DS10	DE09
DS10	DS07
DS10	BA05
DS10	BA08
DS11	DS13
DS11	DA05
DS11	DS15
DS11	DA01
DS11	DS05
DS11	DA03
DS11	DA08
DS11	DE10
DS11	BA05
DS11	DS12
DS11	DA07
BA07	DS13
BA07	DA05
BA07	DS15
BA07	DA01
BA07	DS14
BA07	BA09
BA07	DE03
BA07	DE05
BA07	DE06
BA07	BA01
BA07	DS12
BA07	BA08
BA07	ML01
BA07	ML04
DS13	DS15
DS13	DA03
DS13	DA08
DS13	DE08
DS13	BA10
DA05	DS15
DA05	DS05
DA05	DS14
DA05	BA09
DA05	DA08
DA05	DA09
DA05	DE03
DS15	DA06
DS15	DA08
DS15	DE01
DS15	DE03
DS15	DE04
DS15	DE06
DS15	BA01
DS15	BA02
DS15	BA04
DS15	ML02
DS15	ML05
DA01	DA03
DA01	DA04
DA01	DS14
DA01	DA10
DA01	DE03
DA01	DE04
DA01	DE09
DA01	BA02
DA01	BA04
DA01	DA07
DS05	DA03
DS05	DS14
DS05	DA06
DS05	DA09
DS05	DA10
DS05	DE01
DS05	DE03
DS05	DE08
DS05	DE10
DS05	BA08
DS05	BA10
DS05	ML01
DS05	ML02
DS05	ML05
DA03	DA04
DA03	DS14
DA03	BA09
DA03	DA08
DA03	DA10
DA03	DE05
DA03	ML02
DA03	ML04
DA04	DA06
DA04	BA09
DA04	DA09
DA04	DA10
DA04	DA07
DS14	DA06
DS14	DA08
DS14	DA10
DS14	DE05
DS14	DS07
DS14	BA04
DS14	DA07
DS14	ML03
DA06	BA09
DA06	DA08
DA06	DA09
DA06	DE05
DA06	DE06
DA06	BA01
DA06	DS07
DA06	BA06
DA06	DA07
BA09	DA08
BA09	DE03
BA09	DE04
BA09	BA01
BA09	BA02
BA09	BA04
BA09	BA06
DA08	DA09
DA08	DA10
DA08	DE09
DA08	DS12
DA08	BA08
DA08	ML03
DA09	DA10
DA09	DE01
DA09	DE10
DA09	BA06
DA09	DA07
DA10	BA05
DE01	DE02
DE01	DE03
DE01	DE04
DE01	DE06
DE01	DE07
DE01	DE08
DE01	DE09
DE01	DE10
DE01	ML02
DE01	ML03
DE02	DE03
DE02	DE04
DE02	DE06
DE02	DE07
DE02	DE08
DE02	DE09
DE02	BA02
DE02	ML05
DE03	DE04
DE03	DE05
DE03	DE06
DE03	DE08
DE03	DE09
DE03	DE10
DE03	ML01
DE04	DE05
DE04	DE06
DE04	DE07
DE04	DE08
DE04	DE09
DE04	DA07
DE04	ML03
DE05	DE06
DE05	DE07
DE05	DE08
DE05	DE09
DE05	DE10
DE06	DE07
DE06	DE09
DE06	DE10
DE06	DS12
DE06	ML01
DE06	ML03
DE07	DE09
DE07	BA02
DE08	DE10
DE08	BA08
DE08	ML01
DE08	ML04
DE09	DE10
DE09	BA02
DE09	DS07
DE09	DS12
DE10	ML02
BA01	BA02
BA01	DS07
BA01	BA04
BA01	BA05
BA01	DS12
BA01	BA08
BA01	DA07
BA01	BA10
BA01	ML05
BA02	DS07
BA02	BA04
