ID_TRANSACAO	GRUPO_ITENS
1	racao_umida
1	guias
1	caixas_transporte
2	racao_seca
2	racao_umida
2	brinquedos
3	petiscos
3	roupas
3	vitaminas_suplementos
4	guias
4	camas
4	vitaminas_suplementos
5	racao_umida
5	petiscos
6	racao_seca
6	racao_umida
6	condicionadores
7	petiscos
7	caixas_transporte
7	condicionadores
7	comedouros
8	racao_seca
8	brinquedos
9	racao_seca
9	coleiras
10	shampoos
10	condicionadores
10	cortadores_unha
11	coleiras
11	tapetes_higienicos
11	shampoos
11	condicionadores
12	guias
12	bebedouros
13	shampoos
13	condicionadores
14	racao_seca
14	racao_umida
14	petiscos
15	brinquedos
15	coleiras
15	peitorais
16	racao_seca
16	shampoos
17	racao_umida
17	petiscos
17	vitaminas_suplementos
17	perfumes
18	petiscos
18	perfumes
19	petiscos
19	coleiras
20	racao_seca
20	higiene_bucal
21	petiscos
21	casinhas
21	shampoos
21	vitaminas_suplementos
22	tapetes_higienicos
22	comedouros
23	camas
23	cobertores
24	racao_umida
24	comedouros
24	bebedouros
25	roupas
25	condicionadores
25	comedouros
26	petiscos
26	brinquedos
27	cobertores
27	desinfetantes_ambientes
28	racao_umida
28	brinquedos
29	petiscos
29	coleiras
30	guias
30	caixas_transporte
31	tapetes_higienicos
31	bebedouros
32	brinquedos
32	tapetes_higienicos
32	escovas_pentes
33	racao_umida
33	higiene_bucal
34	coleiras
34	desinfetantes_ambientes
35	petiscos
35	comedouros
36	racao_seca
36	brinquedos
37	cobertores
37	shampoos
37	condicionadores
38	caixas_transporte
38	fraldas
39	bebedouros
39	perfumes
40	racao_seca
40	racao_umida
41	racao_umida
41	condicionadores
42	racao_seca
42	antipulgas_carrapatos
43	racao_seca
43	escovas_pentes
44	tapetes_higienicos
44	antipulgas_carrapatos
45	petiscos
45	peitorais
46	comedouros
46	bebedouros
46	desinfetantes_ambientes
47	peitorais
47	camas
47	casinhas
48	brinquedos
48	guias
48	cobertores
49	racao_seca
49	caixas_transporte
50	racao_umida
50	peitorais
50	shampoos
50	higiene_bucal
51	tapetes_higienicos
51	escovas_pentes
52	casinhas
52	comedouros
53	racao_umida
53	petiscos
54	shampoos
54	condicionadores
55	racao_umida
55	petiscos
56	caixas_transporte
56	comedouros
57	racao_umida
57	tapetes_higienicos
58	coleiras
58	peitorais
59	guias
59	vitaminas_suplementos
60	guias
60	peitorais
61	racao_umida
61	petiscos
61	vitaminas_suplementos
62	peitorais
62	comedouros
63	comedouros
63	cortadores_unha
64	coleiras
64	camas
64	bebedouros
65	racao_seca
65	racao_umida
65	camas
65	cobertores
66	racao_umida
66	tapetes_higienicos
67	petiscos
67	cobertores
68	peitorais
68	camas
68	cortadores_unha
69	petiscos
69	escovas_pentes
70	racao_seca
70	tapetes_higienicos
70	desinfetantes_ambientes
71	racao_umida
71	petiscos
71	coleiras
71	peitorais
72	racao_seca
72	guias
72	comedouros
73	racao_seca
73	caixas_transporte
73	fraldas
74	brinquedos
74	camas
75	peitorais
75	shampoos
76	racao_seca
76	cobertores
76	shampoos
76	condicionadores
77	racao_umida
77	shampoos
77	comedouros
78	racao_umida
78	petiscos
79	racao_seca
79	peitorais
80	peitorais
80	condicionadores
81	camas
81	shampoos
81	condicionadores
82	peitorais
82	desinfetantes_ambientes
83	racao_umida
83	camas
84	coleiras
84	cortadores_unha
