MES	QTDE_CLIENTES
2019-05	685
2019-06	359
2019-07	312
2019-08	622
2019-09	884
2019-10	844
2019-11	298
2019-12	660
2020-01	1231
2020-02	418
2020-03	1148
2020-04	445
2020-05	721
2020-06	1229
2020-07	830
2020-08	489
2020-09	2053
2020-10	1790
2020-11	1518
2020-12	923
2021-01	2991
2021-02	3865
2021-03	2414
2021-04	2885
2021-05	3632
2021-06	3139
2021-07	3894
2021-08	3496
2021-09	4292
2021-10	5281
2021-11	5145
2021-12	5513
2022-01	5904
2022-02	5378
2022-03	7089
2022-04	6318
2022-05	7316
2022-06	7591
2022-07	8101
2022-08	9350
2022-09	8749
2022-10	9078
2022-11	9150
2022-12	9957
2023-01	10237
2023-02	11494
2023-03	10338
2023-04	10412
