ANO_MES_FATURA	PERC_INADIMPLENTES
2019-01	0.2218
2019-02	0.1993
2019-03	0.1932
2019-04	0.1947
2019-05	0.1800
2019-06	0.1731
2019-07	0.1742
2019-08	0.1612
2019-09	0.1461
2019-10	0.1427
2019-11	0.1378
2019-12	0.1402
2020-01	0.1602
2020-02	0.1249
2020-03	0.1182
2020-04	0.1097
2020-05	0.1165
2020-06	0.1054
2020-07	0.0886
2020-08	0.0976
2020-09	0.0876
2020-10	0.0808
2020-11	0.0813
2020-12	0.0738
2021-01	0.1020
2021-02	0.0694
2021-03	0.0612
2021-04	0.0711
2021-05	0.0652
2021-06	0.0564
2021-07	0.0663
2021-08	0.0602
2021-09	0.0549
2021-10	0.0594
2021-11	0.0580
2021-12	0.0566
2022-01	0.0850
2022-02	0.0537
2022-03	0.0501
2022-04	0.0486
2022-05	0.0481
2022-06	0.0466
2022-07	0.0494
2022-08	0.0446
2022-09	0.0624
2022-10	0.0585
2022-11	0.0480
2022-12	0.0529
2023-01	0.0841
2023-02	0.0620
2023-03	0.0596
2023-04	0.0634
2023-05	0.0643
2023-06	0.0667
2023-07	0.0764
2023-08	0.0714
2023-09	0.0832
2023-10	0.0712
2023-11	0.0853
2023-12	0.0867
