MES	IPCA	IGPM
2021-01	0.0025	0.0258
2021-02	0.0086	0.0253
2021-03	0.0093	0.0294
2021-04	0.0031	0.0151
2021-05	0.0083	0.0410
2021-06	0.0053	0.0060
2021-07	0.0096	0.0078
2021-08	0.0087	0.0066
2021-09	0.0116	-0.0064
2021-10	0.0125	0.0064
2021-11	0.0095	0.0002
2021-12	0.0073	0.0087
2022-01	0.0054	0.0182
2022-02	0.0101	0.0183
2022-03	0.0162	0.0174
2022-04	0.0106	0.0141
2022-05	0.0047	0.0052
2022-06	0.0067	0.0059
2022-07	-0.0068	0.0021
2022-08	-0.0036	-0.0070
2022-09	-0.0029	-0.0095
2022-10	0.0059	-0.0097
2022-11	0.0041	-0.0056
2022-12	0.0062	0.0045
2023-01	0.0053	0.0021
2023-02	0.0084	-0.0006
2023-03	0.0071	0.0005
2023-04	0.0061	-0.0095
2023-05	0.0023	-0.0184
2023-06	-0.0008	-0.0193
2023-07	0.0012	-0.0072
2023-08	0.0023	-0.0014
2023-09	0.0026	0.0037
2023-10	0.0024	0.0050
2023-11	0.0028	0.0059
2023-12	0.0056	0.0074
