DIA_UTIL	PRECO_ACAO
1	14.82
2	15.68
3	15.91
4	15.01
5	14.24
6	14.01
7	14.42
8	14.82
9	15.27
10	15.07
11	14.91
12	15.33
13	14.58
14	14.65
15	14.69
16	14.92
17	14.86
18	15.27
19	15.36
20	15.09
21	14.64
22	14.63
23	14.62
24	15.21
25	15.11
26	15.34
27	14.62
28	14.63
29	14.37
30	14.90
31	15.28
32	15.61
33	15.31
34	14.72
35	14.75
36	14.51
37	15.19
38	15.80
39	15.45
40	14.82
41	14.35
42	14.24
43	14.60
44	15.12
45	15.91
46	15.41
47	14.89
48	14.77
49	14.95
50	15.34
51	15.29
52	15.49
53	15.67
54	15.12
55	14.98
56	14.74
57	14.68
58	14.80
59	14.93
60	15.34
61	15.34
62	15.37
63	15.06
64	15.04
65	14.95
66	15.15
67	15.22
68	15.46
69	15.14
70	15.12
71	15.24
72	14.98
73	14.86
74	14.81
75	14.63
76	14.47
77	14.06
78	14.88
79	15.50
80	15.58
81	15.16
82	14.43
83	13.95
84	14.53
85	14.83
86	15.24
87	15.63
88	15.17
89	14.96
90	14.47
