MES	QTDE_VEICULOS
2011-06	127000
2011-07	143000
2011-08	127000
2011-09	136000
2011-10	103000
2011-11	112000
2011-12	157000
2012-01	116000
2012-02	147000
2012-03	128000
2012-04	109000
2012-05	117000
2012-06	118000
2012-07	114000
2012-08	126000
2012-09	146000
2012-10	125000
2012-11	105000
2012-12	146000
2013-01	184000
2013-02	158000
2013-03	156000
2013-04	105000
2013-05	165000
2013-06	144000
2013-07	129000
2013-08	172000
2013-09	154000
2013-10	145000
2013-11	177000
2013-12	221000
2014-01	205000
2014-02	179000
2014-03	155000
2014-04	164000
2014-05	175000
2014-06	159000
2014-07	191000
2014-08	203000
2014-09	171000
2014-10	181000
2014-11	229000
2014-12	206000
2015-01	245000
2015-02	191000
2015-03	173000
2015-04	182000
2015-05	188000
2015-06	202000
2015-07	211000
2015-08	254000
2015-09	213000
2015-10	219000
2015-11	231000
2015-12	259000
2016-01	293000
2016-02	235000
2016-03	184000
2016-04	168000
2016-05	208000
2016-06	188000
2016-07	176000
2016-08	258000
2016-09	213000
2016-10	222000
2016-11	269000
2016-12	316000
2017-01	289000
2017-02	260000
2017-03	249000
2017-04	196000
2017-05	220000
2017-06	247000
2017-07	254000
2017-08	254000
2017-09	288000
2017-10	267000
2017-11	311000
2017-12	380000
2018-01	367000
2018-02	298000
2018-03	262000
2018-04	233000
2018-05	263000
2018-06	268000
2018-07	285000
2018-08	321000
2018-09	314000
2018-10	319000
2018-11	393000
2018-12	414000
2019-01	416000
2019-02	357000
2019-03	299000
2019-04	276000
2019-05	325000
2019-06	305000
2019-07	311000
2019-08	342000
2019-09	338000
2019-10	358000
2019-11	429000
2019-12	493000
2020-01	461000
2020-02	385000
2020-03	356000
2020-04	284000
2020-05	331000
2020-06	349000
2020-07	307000
2020-08	378000
2020-09	323000
2020-10	322000
2020-11	462000
2020-12	502000
2021-01	532000
2021-02	410000
2021-03	359000
2021-04	315000
2021-05	327000
2021-06	381000
2021-07	335000
2021-08	401000
2021-09	384000
2021-10	426000
2021-11	453000
2021-12	545000
2022-01	524000
2022-02	467000
2022-03	415000
2022-04	378000
2022-05	394000
2022-06	393000
2022-07	416000
2022-08	393000
2022-09	485000
2022-10	456000
2022-11	542000
2022-12	623000
2023-01	604000
2023-02	495000
2023-03	451000
2023-04	380000
2023-05	441000
