QUINZENA	CAPACIDADE_INSTALADA_MW	CONSUMO_GWH
1	0.03	0.93
2	9.32	3.22
3	41.94	19.14
4	22.13	21.67
5	27.07	18.53
6	56.44	13.46
7	40.37	10.63
8	16.76	10.30
9	30.01	16.30
10	37.87	22.46
11	68.59	21.90
12	58.76	12.99
13	63.41	20.70
14	62.77	27.14
15	56.11	22.74
16	97.59	25.32
17	80.97	16.61
18	45.53	11.11
19	92.22	32.57
20	77.44	36.65
21	71.91	27.29
22	89.51	17.08
23	80.58	8.28
24	89.34	19.60
25	95.00	35.13
26	82.01	34.96
27	126.40	42.00
28	119.45	28.24
29	102.79	17.23
30	145.06	32.06
31	135.82	35.07
32	128.28	30.36
33	151.32	29.16
34	155.05	31.35
35	158.15	36.83
36	160.02	44.11
37	161.86	51.82
38	156.01	45.23
39	156.10	31.78
40	158.91	33.02
41	157.88	42.28
42	169.67	46.33
43	156.75	37.97
44	215.70	45.70
45	204.33	47.07
46	171.03	45.05
47	186.55	50.80
48	189.53	48.12
