id_titulo	categoria	qtde_paginas	edicao	tipo_capa	densidade_papel	cor	ano	preco
00001	Autoajuda	462	Reedicao	Flexivel	Baixa	Preto	Até 2017	72.49
00002	Artes	559	Reedicao	Dura	Alta	Preto	Até 2017	68.58
00003	Artes	475	Reedicao	Dura	Alta	Cores	2018-2020	69.57
00004	Autoajuda	65	Original	Flexivel	Baixa	Preto	2021-2023	32.66
00005	Infantil	560	Reedicao	Flexivel	Baixa	Cores	2018-2020	64.10
00006	Literatura	302	Original	Flexivel	Alta	Preto	2018-2020	35.83
00007	Literatura	410	Reedicao	Flexivel	Baixa	Preto	Até 2017	49.47
00008	Historia	437	Original	Flexivel	Alta	Preto	Até 2017	44.79
00009	Ciencias	301	Reedicao	Flexivel	Alta	Preto	2018-2020	47.44
00010	Culinaria	477	Reedicao	Flexivel	Baixa	Preto	2021-2023	54.35
00011	Culinaria	678	Reedicao	Dura	Baixa	Cores	2021-2023	82.03
00012	Gestao	381	Reedicao	Flexivel	Baixa	Cores	Até 2017	64.96
00013	Autoajuda	315	Original	Flexivel	Baixa	Preto	Até 2017	25.73
00014	Culinaria	432	Reedicao	Dura	Alta	Preto	2018-2020	53.82
00015	Literatura	550	Reedicao	Flexivel	Baixa	Preto	Até 2017	52.27
00016	Universitario	848	Original	Flexivel	Alta	Preto	Até 2017	123.84
00017	Gestao	147	Reedicao	Flexivel	Baixa	Preto	2018-2020	28.28
00018	Universitario	732	Original	Flexivel	Baixa	Preto	Até 2017	120.73
00019	Literatura	625	Reedicao	Dura	Alta	Cores	2018-2020	89.09
00020	Gestao	323	Reedicao	Flexivel	Baixa	Preto	2018-2020	62.71
00021	Autoajuda	259	Reedicao	Flexivel	Baixa	Cores	2018-2020	34.62
00022	Gestao	552	Reedicao	Flexivel	Alta	Preto	Até 2017	55.01
00023	Literatura	222	Reedicao	Flexivel	Baixa	Preto	2018-2020	11.09
00024	Infantil	616	Original	Flexivel	Baixa	Cores	2018-2020	74.90
00025	Ciencias	362	Reedicao	Flexivel	Baixa	Preto	2018-2020	65.04
00026	Culinaria	332	Original	Flexivel	Alta	Preto	2018-2020	33.08
00027	Autoajuda	312	Original	Flexivel	Baixa	Preto	Até 2017	11.37
00028	Gestao	361	Original	Flexivel	Baixa	Preto	2018-2020	47.20
00029	Infantil	328	Original	Dura	Alta	Preto	Até 2017	45.87
00030	Culinaria	246	Original	Dura	Baixa	Preto	2021-2023	41.15
00031	Ciencias	271	Original	Flexivel	Baixa	Preto	2018-2020	43.51
00032	Autoajuda	254	Original	Flexivel	Baixa	Preto	Até 2017	54.09
00033	Autoajuda	326	Reedicao	Flexivel	Baixa	Preto	Até 2017	45.59
00034	Literatura	697	Original	Flexivel	Baixa	Preto	Até 2017	77.77
00035	Autoajuda	296	Reedicao	Flexivel	Baixa	Preto	Até 2017	28.92
00036	Historia	385	Original	Flexivel	Baixa	Preto	Até 2017	34.06
00037	Literatura	305	Reedicao	Dura	Baixa	Cores	2018-2020	51.96
00038	Gestao	344	Original	Dura	Alta	Preto	2018-2020	61.16
00039	Espiritualidade	202	Original	Flexivel	Baixa	Preto	Até 2017	15.06
00040	Ciencias	363	Original	Flexivel	Baixa	Cores	Até 2017	51.30
00041	Biografia	449	Original	Dura	Baixa	Preto	2021-2023	69.14
00042	Autoajuda	271	Original	Flexivel	Baixa	Cores	Até 2017	37.06
00043	Literatura	338	Original	Flexivel	Baixa	Preto	2018-2020	47.04
00044	Autoajuda	351	Reedicao	Flexivel	Baixa	Preto	Até 2017	31.03
00045	Culinaria	366	Original	Dura	Alta	Preto	2018-2020	71.57
00046	Infantil	359	Original	Flexivel	Alta	Cores	Até 2017	60.00
00047	Infantil	708	Reedicao	Flexivel	Alta	Preto	2021-2023	72.34
00048	Historia	372	Original	Flexivel	Baixa	Preto	Até 2017	35.17
00049	Ciencias	281	Original	Flexivel	Baixa	Preto	2018-2020	38.51
00050	Gestao	255	Reedicao	Flexivel	Alta	Cores	2021-2023	39.11
00051	Gestao	408	Reedicao	Flexivel	Baixa	Preto	Até 2017	31.16
00052	Historia	466	Original	Flexivel	Baixa	Preto	Até 2017	37.20
00053	Literatura	328	Original	Dura	Baixa	Preto	Até 2017	59.43
00054	Universitario	636	Reedicao	Dura	Alta	Cores	Até 2017	114.78
00055	Biografia	250	Reedicao	Flexivel	Baixa	Preto	Até 2017	49.39
00056	Universitario	575	Reedicao	Dura	Alta	Preto	2018-2020	98.76
00057	Historia	288	Original	Flexivel	Baixa	Preto	2021-2023	57.06
00058	Ciencias	440	Reedicao	Flexivel	Alta	Preto	Até 2017	61.10
00059	Historia	289	Reedicao	Flexivel	Baixa	Preto	2021-2023	49.72
00060	Literatura	293	Reedicao	Flexivel	Alta	Preto	Até 2017	54.98
00061	Autoajuda	235	Reedicao	Flexivel	Alta	Preto	Até 2017	16.29
00062	Ciencias	398	Original	Dura	Alta	Preto	2021-2023	84.06
00063	Ciencias	199	Reedicao	Flexivel	Baixa	Preto	2018-2020	31.07
00064	Ciencias	426	Reedicao	Flexivel	Baixa	Preto	Até 2017	43.67
00065	Literatura	415	Original	Flexivel	Baixa	Preto	2021-2023	61.05
00066	Historia	168	Original	Flexivel	Baixa	Preto	2018-2020	27.33
00067	Viagem	231	Original	Flexivel	Baixa	Preto	2021-2023	31.59
00068	Literatura	457	Reedicao	Flexivel	Alta	Preto	2018-2020	46.26
00069	Literatura	578	Reedicao	Dura	Baixa	Preto	2018-2020	85.21
00070	Viagem	450	Original	Flexivel	Baixa	Preto	Até 2017	51.53
00071	Biografia	740	Original	Dura	Baixa	Preto	Até 2017	110.25
00072	Literatura	235	Original	Flexivel	Alta	Preto	Até 2017	32.21
00073	Literatura	501	Reedicao	Flexivel	Baixa	Preto	Até 2017	53.43
00074	Literatura	578	Original	Flexivel	Baixa	Cores	Até 2017	70.35
00075	Ciencias	645	Reedicao	Flexivel	Baixa	Preto	Até 2017	53.13
00076	Viagem	577	Reedicao	Dura	Baixa	Preto	Até 2017	81.92
00077	Autoajuda	638	Reedicao	Dura	Baixa	Preto	2021-2023	106.62
00078	Autoajuda	482	Original	Flexivel	Baixa	Cores	Até 2017	49.58
00079	Infantil	457	Reedicao	Dura	Baixa	Cores	2021-2023	83.71
00080	Culinaria	498	Original	Dura	Alta	Preto	Até 2017	48.90
00081	Culinaria	519	Original	Flexivel	Alta	Cores	2018-2020	74.67
00082	Ciencias	417	Reedicao	Flexivel	Alta	Preto	2018-2020	59.75
00083	Infantil	194	Reedicao	Flexivel	Baixa	Preto	2018-2020	53.47
00084	Biografia	310	Reedicao	Dura	Alta	Preto	Até 2017	80.92
00085	Espiritualidade	312	Reedicao	Flexivel	Baixa	Preto	Até 2017	26.40
00086	Viagem	638	Original	Dura	Alta	Preto	2021-2023	91.73
00087	Historia	214	Reedicao	Flexivel	Baixa	Preto	Até 2017	29.23
00088	Culinaria	435	Reedicao	Flexivel	Baixa	Preto	2021-2023	53.32
00089	Ciencias	314	Original	Flexivel	Baixa	Preto	Até 2017	57.39
00090	Historia	608	Reedicao	Dura	Alta	Preto	2018-2020	79.20
00091	Literatura	724	Original	Flexivel	Alta	Cores	2018-2020	93.66
00092	Artes	862	Reedicao	Dura	Baixa	Cores	Até 2017	93.89
00093	Literatura	245	Reedicao	Flexivel	Baixa	Preto	2021-2023	36.12
00094	Ciencias	271	Original	Flexivel	Baixa	Preto	2021-2023	32.63
00095	Infantil	230	Reedicao	Flexivel	Baixa	Cores	Até 2017	54.44
00096	Artes	419	Reedicao	Dura	Baixa	Preto	2021-2023	40.22
00097	Historia	166	Reedicao	Flexivel	Baixa	Preto	2018-2020	21.63
00098	Autoajuda	372	Reedicao	Flexivel	Baixa	Preto	Até 2017	33.71
00099	Historia	357	Reedicao	Flexivel	Baixa	Preto	Até 2017	25.19
00100	Biografia	319	Original	Flexivel	Baixa	Preto	Até 2017	53.35
00101	Biografia	382	Reedicao	Dura	Alta	Preto	2018-2020	69.99
00102	Ciencias	308	Original	Flexivel	Baixa	Preto	2018-2020	31.01
00103	Gestao	292	Original	Flexivel	Baixa	Preto	2018-2020	57.02
00104	Universitario	775	Reedicao	Flexivel	Baixa	Preto	2021-2023	127.58
