NADADOR	ALTURA	PESO
1	180.9	74.1
2	170.9	76.2
3	175.2	67.7
4	190.3	81.6
5	173.2	68.2
6	180.7	82.4
7	190.6	73.7
8	160.1	70.7
9	169.4	72.1
10	188.2	83.2
11	187.4	79.8
12	153.8	63.3
13	187.7	79.7
14	174.0	72.5
15	183.1	70.7
16	174.7	68.1
17	167.8	74.6
18	168.0	64.9
19	193.6	83.8
20	175.4	66.5
21	162.4	67.7
22	188.2	74.5
23	181.1	86.5
24	162.8	65.4
25	177.7	69.3
26	168.5	64.3
27	165.2	68.9
28	175.3	73.9
29	195.4	78.6
30	183.3	76.3
31	185.1	70.0
32	183.6	72.5
33	176.1	73.9
34	168.9	75.3
35	183.4	79.3
36	182.1	72.1
37	165.8	60.9
38	182.6	77.1
39	175.0	76.1
40	189.2	81.9
41	176.9	75.8
42	188.1	83.9
43	189.8	83.2
44	194.8	77.0
45	176.7	67.1
46	183.6	75.6
47	169.9	69.8
48	186.5	76.5
49	171.9	69.8
50	183.8	74.0
51	173.0	72.6
52	175.4	63.1
53	183.0	72.1
54	179.9	69.6
55	177.0	80.8
56	165.9	71.7
57	182.4	76.5
58	177.7	68.1
59	179.3	78.8
60	185.4	77.3
61	160.4	63.6
62	181.7	82.4
63	176.1	74.8
64	174.8	74.8
65	190.0	89.5
66	195.8	92.3
67	174.0	64.2
68	183.6	72.4
69	172.8	75.3
70	183.3	70.7
71	174.4	73.7
72	177.7	75.8
73	194.7	86.3
74	173.5	68.0
75	195.2	78.6
76	185.0	70.4
77	178.6	72.2
78	182.0	69.8
79	198.5	84.6
80	175.3	72.5
81	179.6	74.4
82	171.6	80.1
83	189.3	76.1
84	160.9	72.7
85	166.7	72.4
86	177.7	73.0
87	180.1	75.3
88	189.7	84.1
89	186.1	79.2
90	180.9	75.5
91	178.1	78.0
92	177.1	71.0
93	195.6	84.5
94	177.0	74.4
95	165.4	69.6
96	181.0	73.3
97	177.8	77.0
98	183.2	77.9
99	174.6	75.2
100	178.8	66.4
