ID_MODELO	TAMANHO_TELA	RESOLUCAO_ALTURA	RESOLUCAO_LARGURA	MEMORIA_RAM	ARMAZENAMENTO	BATERIA	RESOLUCAO_CAM_PRINCIPAL	RESOLUCAO_CAM_FRONTAL	PESO_INVERSO	PROCESSADOR	NUCLEOS	PRECO
1	6.2	2560	1440	8	256	3100	20	12	0.00588	2.9	8	3069
2	6	2160	1080	4	64	3400	12	7	0.00455	2.2	8	1219
3	6.7	3200	1440	3	32	5000	16	10	0.005	2.6	8	3259
4	6.2	2376	1080	12	256	2400	32	16	0.00439	3	8	2449
5	6.5	2960	1440	4	64	6000	108	32	0.00606	3.1	8	4309
6	6.3	2400	1080	6	128	3400	30	15	0.00465	2.9	8	1949
7	6.1	2230	1080	4	64	4000	108	40	0.00571	2	4	2379
8	6.7	3200	1440	3	32	4300	48	24	0.00571	2.2	8	3719
9	6.3	2400	1080	6	128	3100	48	20	0.00556	2.7	8	2619
10	5.9	1920	1080	6	128	3200	13	8	0.00476	2.8	8	1629
11	6.3	2400	1080	2	16	3400	108	40	0.00541	2.2	8	2389
12	6.5	2400	1080	8	256	5000	32	14	0.00556	2.6	8	3029
13	6.6	2688	1242	4	64	4100	64	25	0.00714	2.5	8	4029
14	6	2200	1080	8	256	2800	20	10	0.00526	2.5	8	1699
15	6.4	2340	1080	4	64	3500	50	20	0.00465	2.2	8	1909
16	5.5	1920	1080	8	256	4500	18	12	0.00588	2.9	8	2229
17	5.6	2220	1080	4	64	4800	18	11	0.00435	2.3	8	1449
18	6.3	2400	1080	4	64	2400	12	8	0.00476	2.3	8	1089
19	6.1	2220	1080	4	64	3800	18	11	0.00465	2.3	8	1689
20	6.5	2960	1440	12	512	4500	64	24	0.0069	2.5	8	4599
21	6.4	2340	1080	6	128	4200	32	14	0.00581	2.4	8	2469
22	6.9	3088	1440	3	32	5000	15	8	0.00676	2.3	4	3589
23	6.5	2960	1440	3	32	4300	50	20	0.005	2.2	8	2809
24	5.7	2280	1080	4	64	2900	50	20	0.00541	2	4	2179
25	6.1	2340	1080	4	64	3500	25	12	0.00505	2.3	8	2439
26	6.6	2688	1242	12	512	4500	108	40	0.00513	2.9	8	4749
27	6.5	2340	1080	8	256	4300	20	12	0.00588	2.9	8	3189
28	6.4	2340	1080	6	128	4300	64	24	0.00571	2.1	4	2639
29	6.1	2280	1080	6	128	3400	16	10	0.00633	2.8	8	2409
30	6.1	2340	1080	10	512	3000	64	24	0.005	3.1	8	2869
31	6.4	2340	1080	3	32	4000	32	14	0.00595	2.5	8	2119
32	6.7	2778	1284	2	16	4200	16	10	0.00595	2.3	4	3079
33	6.4	2340	1080	8	256	4500	16	10	0.00505	2.5	8	2339
34	6.2	2560	1440	6	128	3200	25	12	0.00575	2.3	8	2509
35	5.5	1920	1080	8	256	3300	108	40	0.00595	3.1	8	3169
36	6	2160	1080	8	256	4100	30	15	0.00444	2.9	8	1669
37	6.7	3200	1440	4	64	4500	64	25	0.00526	2.7	8	3089
38	6.2	2376	1080	12	512	2700	12	7	0.00649	2.9	8	3109
39	5.6	2080	960	8	256	4100	12	8	0.00521	2.5	8	1759
40	6.1	2230	1080	6	128	3000	20	10	0.00571	3.1	8	2069
41	6	2160	1080	6	128	4000	108	40	0.00667	2.5	8	3179
42	5.4	2080	960	12	512	2700	12	7	0.00476	3.1	8	2069
43	5.8	2280	1080	4	64	2900	16	10	0.00521	1.8	4	1379
44	6.7	3120	1440	8	128	4800	50	20	0.00606	2	4	4279
45	6.4	2340	1080	3	32	3400	48	16	0.00505	2.6	8	2649
46	6.8	3120	1440	6	128	4500	40	15	0.00526	2.3	8	4089
47	6.5	2960	1440	6	128	3500	18	11	0.00625	2	8	3019
48	6.7	3120	1440	6	128	4100	30	15	0.00667	2	8	3579
49	6.2	2560	1440	3	32	4100	16	10	0.00541	2.5	4	2769
50	6.7	3120	1440	4	64	5000	15	9	0.00526	2.2	8	3329
51	6.1	2340	1080	4	64	2500	32	14	0.00435	1.8	8	1599
52	5.6	2080	960	4	64	3200	64	25	0.00444	2	4	1649
53	6	2160	1080	6	128	3600	8	5	0.00588	2.8	8	2039
54	6.6	2688	1242	8	256	4400	8	5	0.00455	2.3	8	2739
55	6.1	2340	1080	4	64	3800	13	8	0.00581	2.8	8	1479
