ALUNO	MEDIA_PORTUGUES	MEDIA_MATEMATICA	MEDIA_QUIMICA	MEDIA_BIOLOGIA	MEDIA_FISICA	MEDIA_GEOGRAFIA	MEDIA_HISTORIA
001	7.3	8.2	8.3	8.2	8.8	8.5	8.0
002	6.3	6.8	7.8	6.5	6.2	7.8	7.0
003	10.0	8.7	7.3	8.4	7.8	8.8	7.7
004	7.8	7.9	7.7	6.9	7.2	8.4	7.4
005	6.0	8.4	7.8	7.6	9.0	5.1	6.3
006	8.8	7.2	7.0	8.7	6.9	8.5	9.1
007	6.3	5.6	5.7	5.6	6.6	7.2	7.0
008	7.8	6.8	6.6	7.7	6.8	8.4	9.2
009	6.1	6.9	7.8	6.5	7.9	6.3	6.0
010	5.8	6.2	8.4	8.5	8.8	5.0	7.5
011	6.6	5.5	7.5	7.3	8.6	6.1	6.8
012	7.5	8.3	8.1	6.8	8.1	8.6	6.3
013	7.8	8.2	7.7	7.8	7.7	7.8	7.7
014	6.4	7.3	6.9	6.7	7.0	8.7	7.0
015	7.6	9.1	8.6	8.2	8.7	7.6	6.9
016	8.7	6.8	6.1	7.1	6.9	8.7	8.1
017	8.5	6.6	5.8	5.6	5.6	8.5	7.4
018	7.5	8.4	8.0	7.8	7.3	7.4	7.5
019	6.7	5.5	7.7	7.9	7.3	6.9	7.2
020	7.9	7.1	6.3	6.8	5.6	5.7	7.4
021	8.3	6.4	7.7	7.8	6.4	7.5	9.4
022	7.1	6.3	6.3	6.3	6.5	7.7	7.1
023	8.1	7.3	6.8	6.9	5.6	8.1	8.7
024	7.0	6.5	6.3	8.2	6.1	7.2	9.9
025	6.7	7.4	8.9	7.9	7.8	8.7	7.3
026	8.5	6.8	7.6	8.7	7.1	8.3	9.4
027	8.0	6.2	6.1	6.6	5.2	7.9	7.7
028	6.9	6.9	8.3	9.7	9.5	6.7	8.2
029	8.6	8.1	6.5	8.4	6.9	9.3	9.3
030	8.4	6.9	6.2	7.2	6.2	6.9	7.9
031	9.4	8.0	6.9	8.1	6.7	10.0	9.9
032	7.2	6.9	6.9	8.3	7.6	6.8	8.9
033	7.3	6.8	6.0	6.5	7.2	8.6	6.9
034	7.0	4.5	5.8	5.3	5.6	6.7	6.2
035	8.4	6.8	6.6	6.7	6.9	8.3	7.0
036	8.6	8.4	8.1	8.7	7.2	8.5	8.6
037	6.8	9.0	8.0	7.4	8.3	6.4	6.5
038	7.7	6.5	7.1	7.3	6.4	8.5	7.7
039	7.7	7.6	8.3	8.3	7.5	6.7	8.0
040	7.6	6.6	6.4	8.3	6.9	8.9	9.1
