ID_RESPONDENTE	IDADE	GENERO	ESTADO_CIVIL	OCUPACAO_USUAL	RENDA_MENSAL_FAMILIAR	GRAU_EDUCACAO	REFEICAO_MAIS_FREQUENTE	COMPRAS_SAUDAVEIS	RECLAMACAO_ATRASO	AVALIACAO_MEDIA_ANTERIOR	INFLUENCIADO_POR_NOTA
1	29	Feminino	Casado	Sem Ocupacao	5300	Graduacao	Almoco	Sim	Sim	4.5	1
2	37	Masculino	Casado	Empregado CLT	28100	Pos-Graduacao	Lanches	Sim	Sim	4.5	0
3	36	Feminino	Casado	Empregado CLT	14000	Graduacao	Cafe da manha	Nao	Nao	4.2	1
4	28	Masculino	Casado	Autonomo	10900	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.5	0
5	31	Feminino	Casado	Estudante	8100	Graduacao	Jantar	Nao	Nao	4.7	1
6	26	Feminino	Solteiro	Autonomo	3400	Graduacao	Almoco	Sim	Nao	4.6	0
7	32	Masculino	Divorciado	Autonomo	6800	Ensino Fund./Medio	Lanches	Nao	Nao	4.4	0
8	26	Feminino	Solteiro	Estudante	7000	Pos-Graduacao	Almoco	Sim	Sim	4.6	1
9	22	Feminino	Casado	Empregado CLT	7500	Sem Instrucao	Lanches	Nao	Nao	4.3	0
10	21	Feminino	Solteiro	Estudante	9500	Ensino Fund./Medio	Almoco	Sim	Nao	4.5	0
11	24	Feminino	Casado	Autonomo	9600	Sem Instrucao	Almoco	Nao	Nao	4.8	0
12	39	Feminino	Solteiro	Empregado CLT	15300	Graduacao	Jantar	Nao	Nao	4.7	1
13	44	Masculino	Casado	Empregado CLT	20600	Pos-Graduacao	Lanches	Sim	Nao	4.4	0
14	29	Masculino	Solteiro	Autonomo	5400	Graduacao	Lanches	Nao	Nao	4.6	1
15	22	Feminino	Casado	Autonomo	10800	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.3	0
16	25	Feminino	Solteiro	Estudante	12300	Sem Instrucao	Almoco	Nao	Nao	4.5	1
17	31	Masculino	Solteiro	Empregado CLT	1500	Sem Instrucao	Lanches	Nao	Nao	4.7	0
18	26	Feminino	Solteiro	Autonomo	12400	Ensino Fund./Medio	Jantar	Nao	Nao	4.3	0
19	28	Feminino	Solteiro	Estudante	17200	Ensino Fund./Medio	Almoco	Nao	Sim	4.1	0
20	49	Masculino	Casado	Sem Ocupacao	4000	Sem Instrucao	Almoco	Nao	Nao	4.7	1
21	19	Feminino	Solteiro	Autonomo	8700	Ensino Fund./Medio	Lanches	Sim	Nao	4.8	1
22	58	Masculino	Casado	Empregado CLT	5100	Graduacao	Cafe da manha	Sim	Sim	4.8	1
23	22	Feminino	Solteiro	Estudante	6200	Graduacao	Cafe da manha	Sim	Nao	4.5	1
24	33	Feminino	Casado	Autonomo	17100	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.7	0
25	32	Feminino	Casado	Empregado CLT	7200	Pos-Graduacao	Cafe da manha	Sim	Nao	4.5	1
26	46	Masculino	Casado	Estudante	7000	Graduacao	Cafe da manha	Nao	Nao	4.6	1
27	32	Feminino	Casado	Estudante	10900	Pos-Graduacao	Cafe da manha	Sim	Nao	4.5	0
28	60	Masculino	Casado	Autonomo	6000	Graduacao	Lanches	Nao	Nao	4.6	1
29	28	Feminino	Solteiro	Autonomo	7400	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	1
30	29	Masculino	Divorciado	Empregado CLT	13400	Sem Instrucao	Cafe da manha	Nao	Nao	4.9	1
31	40	Feminino	Solteiro	Empregado CLT	4400	Graduacao	Almoco	Sim	Nao	4.5	0
32	49	Feminino	Casado	Autonomo	3300	Pos-Graduacao	Almoco	Nao	Nao	4.7	0
33	38	Feminino	Solteiro	Empregado CLT	7800	Graduacao	Almoco	Nao	Nao	4.7	1
34	25	Masculino	Solteiro	Autonomo	3200	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	1
35	22	Feminino	Solteiro	Empregado CLT	24600	Sem Instrucao	Almoco	Nao	Nao	4.9	1
36	33	Masculino	Viúvo	Empregado CLT	8500	Graduacao	Almoco	Nao	Nao	4.7	1
37	28	Feminino	Solteiro	Autonomo	3900	Pos-Graduacao	Cafe da manha	Nao	Nao	4.9	1
38	22	Feminino	Casado	Estudante	18000	Graduacao	Jantar	Nao	Nao	4.5	0
39	35	Masculino	Solteiro	Empregado CLT	9400	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	1
40	43	Feminino	Casado	Empregado CLT	14800	Graduacao	Lanches	Nao	Nao	4.6	1
41	19	Masculino	Solteiro	Autonomo	5700	Sem Instrucao	Cafe da manha	Nao	Nao	4.7	0
42	19	Masculino	Solteiro	Sem Ocupacao	17500	Sem Instrucao	Cafe da manha	Nao	Nao	4.5	0
43	26	Feminino	Solteiro	Empregado CLT	5400	Sem Instrucao	Almoco	Sim	Nao	4.3	1
44	21	Feminino	Solteiro	Estudante	7300	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	1
45	42	Masculino	Solteiro	Sem Ocupacao	13800	Graduacao	Almoco	Sim	Nao	4.5	1
46	28	Feminino	Solteiro	Empregado CLT	11000	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	0
47	30	Masculino	Casado	Empregado CLT	4400	Pos-Graduacao	Jantar	Nao	Nao	4.4	0
48	18	Masculino	Solteiro	Empregado CLT	4000	Sem Instrucao	Almoco	Nao	Nao	4.7	1
49	29	Feminino	Casado	Autonomo	4300	Sem Instrucao	Almoco	Nao	Nao	4.7	1
50	29	Masculino	Solteiro	Empregado CLT	4100	Pos-Graduacao	Almoco	Nao	Nao	4.6	1
51	47	Masculino	Casado	Autonomo	11600	Graduacao	Cafe da manha	Sim	Nao	4.8	1
52	34	Masculino	Solteiro	Estudante	6300	Ensino Fund./Medio	Jantar	Nao	Nao	4.9	1
53	27	Masculino	Solteiro	Empregado CLT	1000	Graduacao	Lanches	Nao	Nao	4.7	0
54	28	Masculino	Casado	Estudante	6300	Sem Instrucao	Lanches	Nao	Nao	4.6	1
55	69	Masculino	Casado	Autonomo	3400	Graduacao	Cafe da manha	Nao	Nao	4.6	1
56	29	Feminino	Solteiro	Empregado CLT	7300	Sem Instrucao	Almoco	Nao	Nao	4.5	1
57	28	Feminino	Casado	Estudante	4700	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.7	1
58	47	Feminino	Casado	Empregado CLT	5800	Pos-Graduacao	Jantar	Nao	Nao	4.6	1
59	22	Masculino	Casado	Empregado CLT	5800	Ensino Fund./Medio	Jantar	Nao	Nao	4.7	0
60	25	Masculino	Solteiro	Estudante	11200	Graduacao	Almoco	Nao	Nao	4.9	1
61	31	Masculino	Casado	Autonomo	2300	Pos-Graduacao	Almoco	Nao	Nao	4.6	1
62	18	Masculino	Solteiro	Estudante	7700	Sem Instrucao	Cafe da manha	Nao	Nao	4.1	0
63	19	Feminino	Solteiro	Estudante	4100	Graduacao	Almoco	Sim	Nao	4.6	1
