ID_CLIENTE	IDADE	VALOR_COMPRA_SITE	QTDE_ITENS_COMPRA_SITE	FLAG_ACESSORIOS_COMPRA_SITE	FLAG_FEMININA_COMPRA_SITE	FLAG_MASCULINA_COMPRA_SITE	NOTA_SATISF_COMPRA_SITE	FLAG_COMPROU_LOJA_FISICA_6M	QTDE_COMPRAS_LOJA_FISICA_6M	QTDE_ITENS_LOJA_FISICA_6M	FLAG_RECOMPRA_PROX_3_MESES
1	29	185.5	2	0	1	0	7	1	4	4	1
2	27	215.5	2	0	1	1	7	1	2	2	1
3	29	106.4	4	0	1	0	10	1	1	5	1
4	18	140.2	1	0	1	0	8	1	1	4	0
5	24	72.9	2	0	1	0	7	0	0	0	0
6	24	155.3	2	0	1	1	7	1	2	4	1
7	30	145.3	3	0	0	1	5	0	0	0	0
8	21	222.8	2	0	1	1	10	1	1	4	1
9	27	194.5	1	0	1	1	7	1	1	1	1
10	22	113.8	2	0	1	0	7	0	0	0	0
11	31	227.8	3	0	1	0	7	0	0	0	1
12	25	87.6	1	0	1	0	6	1	1	2	0
13	35	211.1	2	0	1	0	8	1	1	2	1
14	23	243.5	2	0	1	0	7	0	0	0	1
15	37	146	2	0	0	1	5	0	0	0	0
16	25	356.7	1	0	1	1	7	0	0	0	0
17	33	113.2	2	1	1	0	7	0	0	0	0
18	43	35	2	0	1	1	9	1	1	3	0
19	37	230.2	2	1	1	1	9	0	0	0	1
20	64	223.4	1	0	1	1	7	0	0	0	0
21	25	334.8	3	1	1	0	9	1	1	6	1
22	27	268.1	7	0	1	1	7	0	0	0	0
23	27	249.8	3	0	1	1	10	1	2	6	1
24	21	154.8	3	0	1	1	6	0	0	0	0
25	30	345.7	2	1	1	1	6	0	0	0	0
26	31	176.4	1	1	0	1	6	0	0	0	0
27	25	209.7	2	1	1	0	6	1	1	2	1
28	31	285.4	2	1	0	1	8	1	4	5	1
29	45	319.2	4	0	1	1	10	0	0	0	0
30	23	319.7	2	0	1	1	10	1	5	3	1
31	45	198.5	2	0	1	0	6	1	1	3	1
32	26	516.7	2	0	0	1	10	1	6	5	1
33	32	131.1	2	1	0	0	8	0	0	0	0
34	26	192.9	4	0	0	1	8	1	2	5	1
35	25	177.9	1	0	1	1	7	1	1	2	0
36	27	150.3	2	0	0	1	9	0	0	0	0
37	29	85.4	1	0	1	1	8	1	1	1	1
38	20	75	1	0	1	0	8	0	0	0	0
39	29	94	2	1	1	0	5	0	0	0	0
40	18	289.3	2	0	1	0	10	1	4	2	1
41	21	21.8	1	1	1	1	7	1	1	3	1
42	29	114.3	2	0	1	1	10	0	0	0	0
43	32	188.2	1	0	1	0	7	0	0	0	0
44	34	186.3	2	0	1	1	10	1	1	2	1
45	31	187.6	1	0	1	1	8	1	1	4	0
46	25	76.4	2	0	1	0	7	0	0	0	0
47	19	69.3	3	0	1	0	7	0	0	0	0
48	64	26.7	2	0	0	1	8	0	0	0	1
49	22	291.8	3	1	1	0	9	0	0	0	1
50	39	233.4	2	0	1	1	10	1	4	4	1
51	38	150.2	2	1	0	1	9	0	0	0	0
52	24	135.3	1	0	1	0	7	0	0	0	0
53	29	234.9	2	0	1	1	8	1	2	3	1
54	33	124	4	0	0	1	6	1	7	6	1
55	29	230.4	1	1	0	1	5	1	1	3	1
56	22	238.3	4	0	0	1	8	0	0	0	0
57	33	203	2	0	1	1	8	1	2	2	1
58	29	276	3	1	1	1	7	1	3	5	1
59	23	378.5	2	0	0	1	6	1	1	5	1
60	38	167.3	1	0	1	1	7	0	0	0	0
61	33	188	9	0	1	1	6	0	0	0	0
62	20	342.3	2	0	1	1	10	0	0	0	0
63	27	210.9	3	0	0	1	6	1	4	4	1
64	34	152.2	1	0	1	1	9	1	1	3	0
65	22	142.9	1	0	1	0	8	0	0	0	0
66	43	252.5	3	0	0	1	8	0	0	0	0
67	35	78.6	8	0	1	0	9	1	1	11	1
68	20	240.4	2	0	1	1	9	1	2	4	1
69	18	130	2	0	1	1	8	1	1	5	0
70	44	194.7	3	1	1	1	6	1	1	4	1
71	32	246.7	3	0	1	0	10	1	1	4	1
72	23	57.7	1	0	1	1	7	0	0	0	0
73	18	218.7	3	0	1	1	8	1	4	4	1
74	23	367	2	0	1	0	8	1	4	5	1
75	23	27.3	2	0	1	1	8	0	0	0	0
76	33	177	4	0	1	0	6	0	0	0	0
77	24	212.1	3	0	0	1	5	0	0	0	0
78	27	190.9	4	1	1	0	8	0	0	0	0
79	24	222.9	2	1	1	0	9	1	1	5	1
80	28	369.6	3	0	1	1	6	1	1	5	1
81	32	225.3	2	0	1	1	9	1	1	2	1
82	28	59.2	1	0	1	0	10	1	1	2	0
83	30	376.6	1	1	0	1	9	1	1	1	1
84	31	291.9	6	0	0	1	9	1	1	11	1
85	23	38.8	2	0	1	0	6	1	1	2	0
86	31	67.3	3	0	1	0	5	0	0	0	0
87	27	249.6	4	1	0	1	8	1	2	6	1
88	29	117.7	3	0	1	0	4	0	0	0	0
